data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
combined,Ruminococcus_lactaris,Fusobacterium_nucleatum,10.927,423.262,412.335,3773.42,22/28
combined,Rothia_dentocariosa,Fusobacterium_nucleatum,4.491,416.798,412.308,9181.18,22/28
combined,GGB9615_SGB15051,Fusobacterium_nucleatum,5.401,417.68,412.279,7632.83,22/28
combined,Bacteroides_faecis,Fusobacterium_nucleatum,8.055,420.318,412.263,5117.97,22/28
combined,Parabacteroides_goldsteinii,Fusobacterium_nucleatum,3.627,415.875,412.248,11364.91,22/28
combined,PWY-5941:_glycogen_degradation_II,Fusobacterium_nucleatum,13.309,425.534,412.225,3097.24,22/28
combined,FUCCAT-PWY:_fucose_degradation,Fusobacterium_nucleatum,3.717,415.939,412.222,11090.93,22/28
combined,RUMP-PWY:_formaldehyde_oxidation_I,Fusobacterium_nucleatum,0.992,413.184,412.192,41544.87,18/28
combined,Butyricimonas_faecalis,Fusobacterium_nucleatum,5.642,417.833,412.191,7306.28,22/28
combined,Rikenellaceae_unclassified_SGB2230,Fusobacterium_nucleatum,3.066,415.253,412.187,13442.31,22/28
combined,PWY-7392:_taxadiene_biosynthesis_(engineered),Fusobacterium_nucleatum,5.306,417.486,412.18,7768.52,22/28
combined,Lachnospiraceae_bacterium_OM04_12BH,Fusobacterium_nucleatum,2.845,415.023,412.178,14488.17,22/28
combined,PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II,Fusobacterium_nucleatum,1.816,413.989,412.172,22690.51,22/28
combined,GGB9615_SGB15052,Fusobacterium_nucleatum,7.706,419.872,412.166,5348.94,22/28
combined,PWY-4984:_urea_cycle,Fusobacterium_nucleatum,4.543,416.708,412.165,9073.44,22/28
combined,Blautia_SGB4815,Fusobacterium_nucleatum,3.017,415.163,412.146,13661.18,22/28
combined,Bacilli_unclassified_SGB6487,Fusobacterium_nucleatum,1.205,413.326,412.121,34188.61,22/28
combined,GGB9342_SGB14306,Fusobacterium_nucleatum,5.323,417.396,412.073,7740.82,22/28
combined,Roseburia_faecis,Fusobacterium_nucleatum,19.26,431.33,412.07,2139.53,22/28
combined,Enterocloster_asparagiformis,Fusobacterium_nucleatum,4.552,416.61,412.059,9052.96,22/28
combined,Eggerthella_lenta,Fusobacterium_nucleatum,0.556,412.603,412.047,74109.23,16/28
combined,PWY-5898:_superpathway_of_menaquinol-12_biosynthesis,Fusobacterium_nucleatum,26.923,438.961,412.037,1530.4,22/28
combined,Peptococcaceae_bacterium,Fusobacterium_nucleatum,2.059,414.091,412.032,20008.53,22/28
combined,PWY-6143:_CMP-pseudaminate_biosynthesis,Fusobacterium_nucleatum,2.372,414.394,412.022,17369.88,20/28
combined,Ruminococcus_callidus,Fusobacterium_nucleatum,0.464,412.472,412.009,88867.19,18/28
combined,Blautia_SGB4831,Fusobacterium_nucleatum,2.658,414.638,411.98,15498.84,22/28
combined,Firmicutes_bacterium_AF16_15,Fusobacterium_nucleatum,5.322,417.299,411.977,7740.99,22/28
combined,PWY-6125:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II,Fusobacterium_nucleatum,3.178,415.146,411.968,12963.67,22/28
combined,Ruminococcaceae_unclassified_SGB15260,Fusobacterium_nucleatum,3.681,415.644,411.964,11192.1,22/28
combined,Lachnospira_pectinoschiza,Fusobacterium_nucleatum,5.427,417.358,411.931,7590.33,22/28
combined,GGB9691_SGB15198,Fusobacterium_nucleatum,0.166,412.061,411.896,248435.4,20/28
combined,Rikenellaceae_unclassified_SGB2227,Fusobacterium_nucleatum,4.217,416.105,411.887,9766.29,22/28
combined,PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I,Fusobacterium_nucleatum,1.84,413.725,411.885,22388.87,22/28
combined,Ruminococcus_gnavus,Fusobacterium_nucleatum,3.976,415.86,411.885,10360.12,22/28
combined,Phocaeicola_massiliensis,Fusobacterium_nucleatum,2.37,414.243,411.873,17376.78,22/28
combined,Eubacteriaceae_bacterium,Fusobacterium_nucleatum,0.501,412.367,411.866,82144.55,20/28
combined,GGB1495_SGB2071,Fusobacterium_nucleatum,20.276,432.141,411.865,2031.28,22/28
combined,GGB9581_SGB14999,Fusobacterium_nucleatum,2.903,414.767,411.864,14189.66,22/28
combined,GGB9710_SGB15239,Fusobacterium_nucleatum,1.383,413.23,411.847,29770.14,12/28
combined,"PWY-7115:_C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type",Fusobacterium_nucleatum,19.324,431.169,411.845,2131.24,22/28
combined,Clostridia_unclassified_SGB6293,Fusobacterium_nucleatum,1.945,413.788,411.844,21178.32,22/28
combined,PWY-7560:_methylerythritol_phosphate_pathway_II,Fusobacterium_nucleatum,5.758,417.576,411.818,7151.89,22/28
