feature1,feature2,pair_ig_mean,pair_ig_std,pair_ig_count,f1_ig_mean,f2_ig_mean,mean_individual_ig,ig_difference_raw,ig_difference_pct
GGB9618_SGB15065,PWY0-1479:_tRNA_processing,65.5546875,0.0,3,0.306884765625,32.53955078125,16.4232177734375,49.1314697265625,74.94730216899057
Eisenbergiella_massiliensis,PWY66-389:_phytol_degradation,47.948486328125,0.0,3,0.741943359375,23.304931640625,12.0234375,35.925048828125,74.92426055387811
Lacrimispora_celerecrescens,Senegalimassilia_anaerobia,46.87841796875,0.0,3,0.022705078125,23.578369140625,11.800537109375,35.077880859375,74.82735633860031
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),HEMESYN2-PWY:_heme_b_biosynthesis_II_(oxygen-independent),55.67584228515625,4.820507158744553,12,6.863525390625,21.21246337890625,14.037994384765625,41.637847900390625,74.78620204276946
PWY-6690:_cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate,PWY-8073:_lipid_IVA_biosynthesis_(P._putida),57.819173177083336,0.7179973123408466,9,26.715413411458332,2.4611002604166665,14.5882568359375,43.230916341145836,74.76917078828176
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation,79.5213623046875,7.122953949330769,24,0.383544921875,39.761199951171875,20.072372436523438,59.44898986816406,74.75851537903011
PWY-7560:_methylerythritol_phosphate_pathway_II,ILEUSYN-PWY:_L-isoleucine_biosynthesis_I_(from_threonine),54.5859375,0.0,3,8.55224609375,19.010009765625,13.7811279296875,40.8048095703125,74.75333655359955
Roseburia_hominis,PWY-6969:_TCA_cycle_V_(2-oxoglutarate_synthase),66.65625,0.0,3,27.36279296875,6.305908203125,16.8343505859375,49.8218994140625,74.7445279535865
Blautia_producta,Erysipelatoclostridium_ramosum,47.573486328125,0.0,3,11.0634765625,12.991455078125,12.0274658203125,35.5460205078125,74.71813241233495
ARGININE-SYN4-PWY:_L-ornithine_biosynthesis_II,METH-ACETATE-PWY:_methanogenesis_from_acetate,55.6759033203125,3.660621340748028,6,12.0902099609375,16.191162109375,14.14068603515625,41.53521728515625,74.60178426957424
