Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	13.2310180664062	1.84584153341436e-05	0.0320622674354074
Escherichia_coli	0.166168212890625	0.631258461998909	1.0
Faecalibacterium_prausnitzii	0.52252197265625	0.394714440360103	1.0
Bacteroides_vulgatus	2.03097534179688	0.0933560772357051	1.0
Anaerostipes_hadrus	0.744537353515625	0.30965471296261	1.0
Alistipes_putredinis	0.0624542236328125	0.768570933040833	1.0
Collinsella_aerofaciens	0.323104858398438	0.503325113535431	1.0
Phascolarctobacterium_succinatutens	2.45401000976562	0.0651182006057816	1.0
Clostridium_sp_CAG_413	1.314208984375	0.17708959813838	1.0
Desulfovibrio_piger	0.15472412109375	0.643268262797753	1.0
Coprococcus_comes	1.54962158203125	0.142734202281242	1.0
Eubacterium_rectale	0.559371948242188	0.378535029527532	1.0
Bacteroides_caccae	0.0001983642578125	0.986769398267186	1.0
Parvimonas_micra	1.314208984375	0.17708959813838	1.0
Barnesiella_intestinihominis	1.74575805664062	0.119784641537128	1.0
Eubacterium_hallii	0.323135375976562	0.503304956019437	1.0
Bifidobacterium_pseudolongum	0.7166748046875	0.318883029240199	1.0
Eubacterium_eligens	3.98219299316406	0.0187949753314557	1.0
Firmicutes_bacterium_CAG_83	0.473770141601562	0.417697302931098	1.0
Dorea_longicatena	0.013946533203125	0.889413201985503	1.0
Oscillibacter_sp_57_20	0.344558715820312	0.489484245364179	1.0
Clostridium_sp_CAG_510	3.67906188964844	0.0239222195015758	1.0
Prevotella_intermedia	-3.0517578125e-05	0.999920211544053	1.0
Paraprevotella_xylaniphila	0.297988891601562	0.520400085083492	1.0
Roseburia_sp_CAG_471	0.991928100585938	0.240936821044209	1.0
Clostridium_leptum	0.323135375976562	0.503304956019437	1.0
Firmicutes_bacterium_CAG_110	0.34466552734375	0.48941693963322	1.0
Dorea_formicigenerans	3.21035766601562	0.0348910147297495	1.0
Clostridium_sp_CAG_242	0.229995727539062	0.572304525372869	1.0
Fusicatenibacter_saccharivorans	1.55525207519531	0.142010520032834	1.0
Blautia_wexlerae	0.477706909179688	0.415769408206554	1.0
Slackia_isoflavoniconvertens	0.15472412109375	0.643268262797753	1.0
Blautia_obeum	0.677169799804688	0.332597798274055	1.0
Gemmiger_formicilis	0.341262817382812	0.491568718839303	1.0
Parabacteroides_distasonis	3.16896057128906	0.0360843881887135	1.0
Prevotella_copri	0.0648651123046875	0.764276162553393	1.0
Bacteroides_fragilis	2.19139099121094	0.081340431136887	1.0
Peptostreptococcus_stomatis	-3.0517578125e-05	0.999920211544053	1.0
Eubacterium_ramulus	0.383224487304688	0.466076793997096	1.0
Odoribacter_splanchnicus	1.6524658203125	0.130142488566815	1.0
Filifactor_alocis	-3.0517578125e-05	0.999920211544053	1.0
Gemella_morbillorum	1.314208984375	0.17708959813838	1.0
Klebsiella_pneumoniae	1.22459411621094	0.19259586562524	1.0
Eubacterium_siraeum	2.617919921875	0.0567738406656194	1.0
Bacteroides_uniformis	0.458297729492188	0.425404923725333	1.0
Prevotella_sp_CAG_891	0.538253784179688	0.387688943907079	1.0
Proteus_mirabilis	0.15472412109375	0.643268262797753	1.0
Agathobaculum_butyriciproducens	0.494537353515625	0.407673801936216	1.0
Dialister_pneumosintes	0.229995727539062	0.572304525372869	1.0
Acidaminococcus_intestini	3.24040222167969	0.0340508014052326	1.0
Solobacterium_moorei	-3.0517578125e-05	0.999920211544053	1.0
Parabacteroides_merdae	0.2222900390625	0.578811836282015	1.0
Coprococcus_catus	0.516571044921875	0.397419732154932	1.0
Butyricimonas_virosa	2.62261962890625	0.0565520434352672	1.0
Bacteroides_stercoris	0.09161376953125	0.721559211769445	1.0
Adlercreutzia_equolifaciens	0.479949951171875	0.41467685150026	1.0
Alistipes_finegoldii	0.48687744140625	0.411329227539895	1.0
Roseburia_hominis	0.657424926757812	0.339747345091229	1.0
Bacteroides_xylanisolvens	0.0247955322265625	0.852913729473495	1.0
Firmicutes_bacterium_CAG_95	0.648391723632812	0.34308709042503	1.0
Bacteroides_thetaiotaomicron	0.95745849609375	0.249282675012722	1.0
Kluyvera_georgiana	2.1923828125	0.0812715598081575	1.0
Actinomyces_cardiffensis	-3.0517578125e-05	0.999920211544053	1.0
Oxalobacter_formigenes	0.559402465820312	0.378522023661813	1.0
Oscillibacter_sp_CAG_241	1.5657958984375	0.140666398194308	1.0
Olsenella_scatoligenes	0.989212036132812	0.241581946563382	1.0
Ruthenibacterium_lactatiformans	0.0386505126953125	0.816945281389881	1.0
Roseburia_inulinivorans	0.44775390625	0.430780332192697	1.0
Bifidobacterium_adolescentis	1.42573547363281	0.159760767428265	1.0
Catenibacterium_mitsuokai	0.989212036132812	0.241581946563382	1.0
Ruminococcus_torques	0.0201263427734375	0.86734169890002	1.0
Monoglobus_pectinilyticus	3.66465759277344	0.0241992640544	1.0
Clostridium_sp_CAG_58	1.49560546875	0.14989201658801	1.0
Bacteroides_massiliensis	0.45916748046875	0.42496602864117	1.0
Megamonas_funiformis	0.0832977294921875	0.733994811116276	1.0
Alistipes_shahii	0.0528564453125	0.786627314747734	1.0
Klebsiella_variicola	0.0725860595703125	0.751080123435278	1.0
Bilophila_wadsworthia	1.50433349609375	0.148708488326887	1.0
Ruminococcus_sp_CAG_403	0.797027587890625	0.293190024513555	1.0
Asaccharobacter_celatus	0.101852416992188	0.707093493554017	1.0
Veillonella_parvula	1.87800598144531	0.106630080849302	1.0
Parabacteroides_goldsteinii	0.083099365234375	0.734299739722804	1.0
Firmicutes_bacterium_CAG_238	0.0009613037109375	0.97087931092158	1.0
Bacteroides_intestinalis	5.08688354492188	0.0079180424689745	1.0
Streptococcus_sanguinis	2.05659484863281	0.0913145170162928	1.0
Lawsonibacter_asaccharolyticus	1.32725524902344	0.174954877514073	1.0
Ruminococcus_bicirculans	0.925125122070312	0.257435509910027	1.0
Collinsella_stercoris	0.785858154296875	0.296597375561104	1.0
Bacteroides_ovatus	0.183395385742188	0.614105268129519	1.0
Streptococcus_salivarius	0.187744140625	0.609935653207886	1.0
Methanobrevibacter_smithii	1.84429931640625	0.109824719887222	1.0
Citrobacter_amalonaticus	-3.0517578125e-05	0.999920211544053	1.0
Ruminococcaceae_bacterium_D5	0.675399780273438	0.333230456579334	1.0
Gordonibacter_pamelaeae	1.84773254394531	0.109494565767009	1.0
Holdemania_filiformis	0.568405151367188	0.374712581651279	1.0
Klebsiella_quasipneumoniae	1.46415710449219	0.154245700237808	1.0
Granulicatella_adiacens	-3.0517578125e-05	0.999920211544053	1.0
Eubacterium_sp_CAG_180	19.2676391601562	2.36319153038373e-07	0.0004107226879806
Enterococcus_avium	1.314208984375	0.17708959813838	1.0
Gemella_sanguinis	2.2774658203125	0.0755909730350622	1.0
Sanguibacteroides_justesenii	1.36941528320312	0.1682560977196	1.0
Cloacibacillus_porcorum	0.00042724609375	0.980583811904654	1.0
Erysipelothrix_larvae	0.515731811523438	0.397803399629364	1.0
[Collinsella]_massiliensis	-3.0517578125e-05	0.999920211544053	1.0
Bulleidia_extructa	-3.0517578125e-05	0.999920211544053	1.0
Bacteroides_cellulosilyticus	1.22459411621094	0.19259586562524	1.0
Ruminococcus_bromii	0.05938720703125	0.774166819402156	1.0
Streptococcus_anginosus_group	3.85708618164062	0.0207572806185068	1.0
Anaerofustis_stercorihominis	0.538253784179688	0.387688943907079	1.0
Clostridium_sp_CAG_299	1.35459899902344	0.17057609744551	1.0
Bacteroides_plebeius	0.194168090820312	0.603886311944051	1.0
Firmicutes_bacterium_CAG_145	0.506820678710938	0.401910545982576	1.0
Clostridium_symbiosum	4.19950866699219	0.0158291415319699	1.0
Roseburia_intestinalis	0.238815307617188	0.565030702028652	1.0
Collinsella_intestinalis	0.120437622070312	0.68282601277257	1.0
Harryflintia_acetispora	3.24040222167969	0.0340508014052326	1.0
Clostridium_citroniae	4.40048217773438	0.0135154068059179	1.0
