base	contributing	base_IG_1D	contributing_IG_1D	IG_2D_added	total_IG
Bacteroides_vulgatus	Roseburia_intestinalis	0.00360107421875	9.96728515625	25.0029907226562	25.006591796875
Roseburia_inulinivorans	Roseburia_intestinalis	2.7982177734375	9.96728515625	27.379638671875	30.1778564453125
Gordonibacter_pamelaeae	Roseburia_intestinalis	0.06927490234375	9.96728515625	25.4338989257812	25.503173828125
PWY-5686:_UMP_biosynthesis	Roseburia_intestinalis	0.7064208984375	9.96728515625	25.0626831054688	25.7691040039062
RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	Roseburia_intestinalis	0.55902099609375	9.96728515625	27.0812072753906	27.6402282714844
