base	contributing	base_IG_1D	contributing_IG_1D	IG_2D_added	total_IG
Akkermansia_muciniphila	Escherichia_coli	4.202880859375	27.2078857421875	31.8758544921875	36.0787353515625
Akkermansia_muciniphila	PWY-6609:_adenine_and_adenosine_salvage_III	4.202880859375	26.9241943359375	34.44189453125	38.644775390625
Akkermansia_muciniphila	TRNA-CHARGING-PWY:_tRNA_charging	4.202880859375	35.3642578125	36.927490234375	41.13037109375
Akkermansia_muciniphila	PWY-3841:_folate_transformations_II	4.202880859375	30.09228515625	31.6298828125	35.832763671875
Akkermansia_muciniphila	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	4.202880859375	32.1055297851562	30.6337890625	34.836669921875
Faecalibacterium_prausnitzii	Escherichia_coli	3.835693359375	27.2078857421875	26.8408203125	30.676513671875
Bacteroides_vulgatus	Escherichia_coli	0.1990966796875	27.2078857421875	30.549072265625	30.7481689453125
Anaerostipes_hadrus	Escherichia_coli	5.49749755859375	27.2078857421875	30.5904541015625	36.0879516601562
Alistipes_putredinis	Escherichia_coli	3.098876953125	27.2078857421875	27.7376098632812	30.8364868164062
Collinsella_aerofaciens	Escherichia_coli	10.066650390625	27.2078857421875	31.9044799804688	41.9711303710938
Phascolarctobacterium_succinatutens	Escherichia_coli	4.7567138671875	27.2078857421875	29.1365356445312	33.8932495117188
Clostridium_sp_CAG_413	Escherichia_coli	2.260498046875	27.2078857421875	29.8284301757812	32.0889282226562
Desulfovibrio_piger	Escherichia_coli	0.38787841796875	27.2078857421875	29.830810546875	30.2186889648438
Coprococcus_comes	Escherichia_coli	0.99530029296875	27.2078857421875	31.4356079101562	32.430908203125
Eubacterium_rectale	Escherichia_coli	3.6495361328125	27.2078857421875	26.2286987304688	29.8782348632812
Bacteroides_caccae	Escherichia_coli	1.58197021484375	27.2078857421875	34.2210083007812	35.802978515625
Parvimonas_micra	Escherichia_coli	0.08984375	27.2078857421875	30.0725708007812	30.1624145507812
Barnesiella_intestinihominis	Escherichia_coli	8.9923095703125	27.2078857421875	25.5200805664062	34.5123901367188
Eubacterium_hallii	Escherichia_coli	5.59173583984375	27.2078857421875	25.621826171875	31.2135620117188
Bifidobacterium_pseudolongum	Escherichia_coli	0.27484130859375	27.2078857421875	29.34521484375	29.6200561523438
Firmicutes_bacterium_CAG_83	Escherichia_coli	5.5498046875	27.2078857421875	29.3155517578125	34.8653564453125
Dorea_longicatena	Escherichia_coli	0.111572265625	27.2078857421875	33.835693359375	33.947265625
Oscillibacter_sp_57_20	Escherichia_coli	0.589599609375	27.2078857421875	31.2426147460938	31.8322143554688
Clostridium_sp_CAG_510	Escherichia_coli	1.467041015625	27.2078857421875	29.6617431640625	31.1287841796875
Prevotella_intermedia	Escherichia_coli	0.0	27.2078857421875	29.8622436523438	29.8622436523438
Paraprevotella_xylaniphila	Escherichia_coli	1.7918701171875	27.2078857421875	29.9745483398438	31.7664184570312
Roseburia_sp_CAG_471	Escherichia_coli	4.8297119140625	27.2078857421875	29.2305908203125	34.060302734375
