Feature1	Feature2	IG
Bacteroides_caccae	Veillonella_infantium	8.9171142578125
Bacteroides_cellulosilyticus	Clostridium_sp_CAG_253	13.9887466430664
Bacteroides_coprocola	Desulfovibrionaceae_bacterium	7.122802734375
Bacteroides_coprophilus	PWY-6168:_flavin_biosynthesis_III_(fungi)	5.80060577392578
Bacteroides_dorei	COA-PWY:_coenzyme_A_biosynthesis_I	9.97864532470703
Bacteroides_eggerthii	Holdemanella_biformis	6.13076019287109
Bacteroides_eggerthii	PWY-5097:_L-lysine_biosynthesis_VI	6.63262176513672
Bacteroides_faecichinchillae	Clostridium_sp_D5	2.22093963623047
Bacteroides_faecis	PWY-5686:_UMP_biosynthesis	10.1764831542969
Bacteroides_faecis_CAG_32	PWY-5686:_UMP_biosynthesis	8.69147491455078
Bacteroides_faecis_CAG_32	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	9.95867919921875
Bacteroides_fragilis	Bifidobacterium_animalis	10.1536560058594
Bacteroides_fragilis	Eubacterium_limosum	8.7880859375
Bacteroides_fragilis	Sellimonas_intestinalis	6.14909362792969
Bacteroides_intestinalis	Clostridium_symbiosum	6.86465454101562
Bacteroides_massiliensis	Prevotella_sp_CAG_520	5.25313568115234
Bacteroides_massiliensis	Sellimonas_intestinalis	6.43806457519531
Bacteroides_nordii	Lachnoclostridium_sp_An118	6.58898162841797
Bacteroides_pectinophilus	CALVIN-PWY:_Calvin-Benson-Bassham_cycle	5.73120880126953
Bacteroides_plebeius	Veillonella_atypica	11.3274459838867
Bacteroides_salyersiae	Scardovia_wiggsiae	5.45024871826172
Bacteroides_sp_43_108	Methanosphaera_sp_SHI1033	3.16005706787109
Bacteroides_sp_CAG_443	Streptococcus_pneumoniae	1.94599151611328
Bacteroides_sp_CAG_530	PWY-6124:_inosine-5'-phosphate_biosynthesis_II	6.16657257080078
Bacteroides_sp_CAG_598	Clostridium_sp_CAG_167	5.17356109619141
Bacteroides_sp_CAG_633	TRPSYN-PWY:_L-tryptophan_biosynthesis	6.9173583984375
Bacteroides_sp_CAG_661	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	9.49565887451172
Bacteroides_sp_CAG_927	Helicobacter_pullorum	3.06359100341797
Bacteroides_sp_CAG_927	PHOSLIPSYN-PWY:_superpathway_of_phospholipid_biosynthesis_I_(bacteria)	7.49923706054688
Bacteroides_sp_OM08_11	HISDEG-PWY:_L-histidine_degradation_I	4.50756072998047
Bacteroides_stercorirosoris	Lactobacillus_fuchuensis	2.07238006591797
Bacteroides_stercorirosoris	PWY-6151:_S-adenosyl-L-methionine_cycle_I	5.38201141357422
Bacteroides_stercoris	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	7.58430480957031
Bacteroides_stercoris	Clostridium_asparagiforme	6.80506134033203
Bacteroides_thetaiotaomicron	PWY-5667:_CDP-diacylglycerol_biosynthesis_I	7.45923614501953
Bacteroides_uniformis	PWY-2942:_L-lysine_biosynthesis_III	6.04792785644531
Bacteroides_uniformis	Tyzzerella_nexilis	6.05192565917969
Bacteroides_vulgatus	Streptococcus_mitis	4.67870330810547
Bacteroides_xylanisolvens	PWY-6123:_inosine-5'-phosphate_biosynthesis_I	7.2724609375
Barnesiella_intestinihominis	Clostridium_bolteae_CAG_59	5.73912048339844
Barnesiella_sp_An22	Alistipes_sp_CAG_831	2.11164855957031
Bifidobacterium_adolescentis	Lawsonibacter_asaccharolyticus	5.91774749755859
Bifidobacterium_bifidum	Bacteroides_faecis_CAG_32	5.15148162841797
Bifidobacterium_catenulatum	Corynebacterium_aurimucosum	2.00261688232422
Bifidobacterium_catenulatum	Corynebacterium_jeikeium	2.00261688232422
Bifidobacterium_catenulatum	Eremococcus_coleocola	2.00261688232422
Bifidobacterium_catenulatum	Faecalicatena_orotica	2.00261688232422
Bifidobacterium_catenulatum	Megasphaera_sp_DISK_18	2.679931640625
Bifidobacterium_catenulatum	Peptoniphilus_sp_HMSC062D09	2.00261688232422
Bifidobacterium_catenulatum	Prevotella_buccalis	2.00261688232422
Bifidobacterium_catenulatum	TRNA-CHARGING-PWY:_tRNA_charging	11.0401763916016
Bifidobacterium_dentium	1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	7.93445587158203
Bifidobacterium_gallinarum	PWY-5667:_CDP-diacylglycerol_biosynthesis_I	3.84693145751953
Bifidobacterium_pseudocatenulatum	Oscillibacter_sp_PC13	9.18593597412109
