cohort	run	base	contributing	base_IG_1D	contributing_IG_1D	IG_2D_added	total_IG
RubelMA_2020	0	Akkermansia_muciniphila	Bacteroides_uniformis	2.14767456054688	10.0741882324219	26.7697219848633	28.9173965454102
RubelMA_2020	0	Escherichia_coli	Bacteroides_uniformis	1.66543579101562	10.0741882324219	29.8968505859375	31.5622863769531
RubelMA_2020	0	Escherichia_coli	Bacteroides_thetaiotaomicron	1.66543579101562	23.5971298217773	24.941520690918	26.6069564819336
RubelMA_2020	0	Escherichia_coli	Firmicutes_bacterium_CAG_791	1.66543579101562	24.5907211303711	25.6590881347656	27.3245239257812
RubelMA_2020	0	Faecalibacterium_prausnitzii	Bacteroides_uniformis	0.317535400390625	10.0741882324219	28.2385482788086	28.5560836791992
RubelMA_2020	0	Eubacterium_eligens	Bacteroides_vulgatus	4.58836364746094	19.4425659179688	24.856315612793	29.4446792602539
RubelMA_2020	0	Ruminococcus_torques	Bacteroides_vulgatus	2.63455200195312	19.4425659179688	26.6704864501953	29.3050384521484
RubelMA_2020	0	Anaerostipes_hadrus	Bacteroides_uniformis	0.167312622070312	10.0741882324219	29.143310546875	29.3106231689453
RubelMA_2020	0	Anaerostipes_hadrus	Firmicutes_bacterium_CAG_791	0.167312622070312	24.5907211303711	25.2843627929688	25.4516754150391
RubelMA_2020	0	Collinsella_aerofaciens	Bacteroides_uniformis	0.529571533203125	10.0741882324219	30.5159149169922	31.0454864501953
RubelMA_2020	0	Collinsella_aerofaciens	Firmicutes_bacterium_CAG_791	0.529571533203125	24.5907211303711	25.7119064331055	26.2414779663086
RubelMA_2020	0	Phascolarctobacterium_succinatutens	Bacteroides_uniformis	4.3411865234375	10.0741882324219	27.8660583496094	32.2072448730469
RubelMA_2020	0	Phascolarctobacterium_succinatutens	Prevotella_sp_885	4.3411865234375	10.3194580078125	28.35302734375	32.6942138671875
RubelMA_2020	0	Clostridium_sp_CAG_413	Bacteroides_uniformis	1.65982055664062	10.0741882324219	26.8718566894531	28.5316772460938
