Feature1	Feature2	IG
Atopobium_deltae	Selenomonas_sputigena	1.04168701171875
Atopobium_parvulum	TRNA-CHARGING-PWY:_tRNA_charging	6.6986083984375
Atopobium_parvulum	UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I	20.9088134765625
Atopobium_vaginae	Selenomonas_sputigena	1.6317138671875
Bacteroides_caccae	Bacteroides_sp_CAG_633	3.560546875
Bacteroides_caccae	Campylobacter_upsaliensis	1.42138671875
Bacteroides_caccae	Lactonifactor_longoviformis	6.721923828125
Bacteroides_caccae	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	5.94989013671875
Bacteroides_cellulosilyticus	Bacteroides_fluxus	2.2401123046875
Bacteroides_cellulosilyticus	Barnesiella_sp_An22	1.57781982421875
Bacteroides_cellulosilyticus	Lachnospiraceae_bacterium_2_1_46FAA	13.7164916992188
Bacteroides_cellulosilyticus	Ruminococcaceae_bacterium_D16	7.20166015625
Bacteroides_coprocola	PWY-5347:_superpathway_of_L-methionine_biosynthesis_(transsulfuration)	4.6964111328125
Bacteroides_coprocola	PWY-6897:_thiamin_salvage_II	5.35772705078125
Bacteroides_coprophilus	SER-GLYSYN-PWY:_superpathway_of_L-serine_and_glycine_biosynthesis_I	4.62860107421875
Bacteroides_faecichinchillae	THISYNARA-PWY:_superpathway_of_thiamin_diphosphate_biosynthesis_III_(eukaryotes)	8.16839599609375
Bacteroides_faecis	Collinsella_massiliensis	6.63311767578125
Bacteroides_faecis	PWY-6737:_starch_degradation_V	7.80804443359375
Bacteroides_faecis_CAG_32	PWY-6737:_starch_degradation_V	7.69873046875
Bacteroides_finegoldii	Enterobacter_bugandensis	4.149658203125
Bacteroides_fragilis	Bacteroides_coprocola	8.0155029296875
Bacteroides_fragilis	Enterorhabdus_caecimuris	5.91925048828125
Bacteroides_galacturonicus	PWY-5030:_L-histidine_degradation_III	4.52490234375
Bacteroides_galacturonicus	PWY-6700:_queuosine_biosynthesis	8.03851318359375
Bacteroides_intestinalis	Actinomyces_sp_S6_Spd3	7.13067626953125
Bacteroides_intestinalis	Clostridium_sp_CAG_964	2.683837890625
Bacteroides_intestinalis	Prevotella_sp_885	5.7392578125
Bacteroides_massiliensis	Actinomyces_turicensis	5.83514404296875
Bacteroides_massiliensis	Parabacteroides_sp_CAG_409	6.27008056640625
Bacteroides_nordii	Alistipes_onderdonkii	15.8811645507812
Bacteroides_nordii	Coprobacter_fastidiosus	8.2462158203125
Bacteroides_nordii	Cronobacter_sakazakii	1.52532958984375
Bacteroides_nordii	PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	8.14947509765625
Bacteroides_nordii	Streptococcus_sp_NLAE_zl_C503	2.56085205078125
Bacteroides_ovatus	Mogibacterium_diversum	11.1185913085938
Bacteroides_ovatus	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	5.31512451171875
Bacteroides_ovatus	THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	7.6575927734375
Bacteroides_plebeius	Collinsella_intestinalis	9.46240234375
Bacteroides_plebeius	Fusobacterium_sp_CAG_439	3.97088623046875
Bacteroides_pyogenes	Selenomonas_sputigena	0.673095703125
Bacteroides_salyersiae	ARGININE-SYN4-PWY:_L-ornithine_de_novo__biosynthesis	6.46405029296875
Bacteroides_sartorii	Selenomonas_sputigena	1.6317138671875
Bacteroides_sp_CAG_144	ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	8.25640869140625
Bacteroides_sp_CAG_144	PWY-2942:_L-lysine_biosynthesis_III	10.4511108398438
Bacteroides_sp_CAG_443	Giardia_intestinalis	3.81689453125
Bacteroides_sp_CAG_462	Escherichia_sp_ESNIH1	1.1136474609375
Bacteroides_sp_CAG_462	Fusobacterium_equinum	1.1136474609375
Bacteroides_sp_CAG_598	Prevotella_sp_CAG_1058	1.53948974609375
Bacteroides_sp_D2	Streptococcus_vestibularis	3.87530517578125
Bacteroides_sp_OM05_12	Comamonas_kerstersii	2.96295166015625
Bacteroides_stercorirosoris	Anaerococcus_lactolyticus	1.60009765625
Bacteroides_stercoris	Haemophilus_sputorum	6.21624755859375
Bacteroides_stercoris	Oribacterium_sinus	9.573486328125
Bacteroides_stercoris	Streptococcus_sp_A12	8.4129638671875
Bacteroides_thetaiotaomicron	Leclercia_adecarboxylata	5.84564208984375
Bacteroides_thetaiotaomicron	TRPSYN-PWY:_L-tryptophan_biosynthesis	10.7964477539062
Bacteroides_uniformis	PWY-5103:_L-isoleucine_biosynthesis_III	7.73846435546875
Bacteroides_vulgatus	Streptococcus_pasteurianus	7.27447509765625
Bacteroides_vulgatus	THISYNARA-PWY:_superpathway_of_thiamin_diphosphate_biosynthesis_III_(eukaryotes)	7.23577880859375
Bacteroides_xylanisolvens	Holdemanella_biformis	11.975830078125
Bacteroides_xylanisolvens	Megasphaera_elsdenii	4.9498291015625
Barnesiella_intestinihominis	Alistipes_timonensis	6.8961181640625
Barnesiella_intestinihominis	Erysipelatoclostridium_ramosum	7.42291259765625
Bifidobacterium_adolescentis	Prevotella_sp_CAG_1031	4.2886962890625
Bifidobacterium_adolescentis	Streptococcus_lutetiensis	7.70947265625
Bifidobacterium_animalis	PWY0-1296:_purine_ribonucleosides_degradation	7.62615966796875
Bifidobacterium_bifidum	Bacteroides_faecis	6.9815673828125
Bifidobacterium_bifidum	Corynebacterium_argentoratense	4.6085205078125
Bifidobacterium_breve	Lachnoclostridium_sp_An131	5.47918701171875
Bifidobacterium_breve	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	6.7120361328125
Bifidobacterium_dentium	BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_amino_acid_biosynthesis	5.53179931640625
Bifidobacterium_kashiwanohense	Selenomonas_sp_oral_taxon_126	3.6434326171875
Bifidobacterium_longum	Atopobium_rimae	10.1304321289062
Bifidobacterium_mongoliense	Selenomonas_sputigena	0.673095703125
Bifidobacterium_moukalabense	PWY-5177:_glutaryl-CoA_degradation	1.17205810546875
Bifidobacterium_pseudocatenulatum	Granulicatella_elegans	13.3741455078125
Bifidobacterium_pseudocatenulatum	PWY-6545:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_III	5.0576171875
Bifidobacterium_pseudolongum	Fusobacterium_mortiferum	1.51318359375
Bifidobacterium_pullorum	Selenomonas_sputigena	0.673095703125
Bifidobacterium_scardovii	FAO-PWY:_fatty_acid_&beta;-oxidation_I	1.62994384765625
Bifidobacterium_thermacidophilum	Selenomonas_sputigena	0.673095703125
Bilophila_wadsworthia	Bacteroides_sp_OM08_11	3.3538818359375
Bilophila_wadsworthia	Brachyspira_sp_CAG_700	8.3436279296875
Bilophila_wadsworthia	Ruminococcus_gnavus	10.9654541015625
Blastocystis_sp_subtype_1	TRPSYN-PWY:_L-tryptophan_biosynthesis	4.17486572265625
Blautia_coccoides	Megasphaera_micronuciformis	8.55078125
Blautia_coccoides	Veillonella_atypica	7.33544921875
Blautia_coccoides	Veillonella_sp_T11011_6	8.73956298828125
Blautia_hansenii	Streptococcus_thermophilus	7.35882568359375
Blautia_hydrogenotrophica	FASYN-INITIAL-PWY:_superpathway_of_fatty_acid_biosynthesis_initiation_(E._coli)	5.1348876953125
Blautia_obeum	PWY-5667:_CDP-diacylglycerol_biosynthesis_I	5.81036376953125
Blautia_sp_CAG_257	Odoribacter_laneus	5.81292724609375
Blautia_sp_N6H1_15	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	4.72784423828125
Blautia_wexlerae	Haemophilus_sp_HMSC71H05	7.5364990234375
Bosea_vaviloviae	Selenomonas_sputigena	0.673095703125
Brachyspira_pilosicoli	GLUTORN-PWY:_L-ornithine_biosynthesis	6.40032958984375
Brevundimonas_vesicularis	Selenomonas_sputigena	0.673095703125
Bulleidia_extructa	Clostridium_bolteae	17.4449462890625
Butyricimonas_synergistica	PWY66-422:_D-galactose_degradation_V_(Leloir_pathway)	6.20904541015625
Butyricimonas_virosa	Hafnia_paralvei	3.7171630859375
Butyricimonas_virosa	Rothia_dentocariosa	8.3875732421875
Butyricimonas_virosa	Rothia_mucilaginosa	6.3660888671875
COA-PWY:_coenzyme_A_biosynthesis_I	PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation	2.93280029296875
Campylobacter_gracilis	ARO-PWY:_chorismate_biosynthesis_I	5.17718505859375
Campylobacter_rectus	Selenomonas_sputigena	1.04168701171875
Campylobacter_showae	OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli)	4.51043701171875
Candidatus_Stoquefichus_sp_KLE1796	ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	8.4072265625
Candidatus_Stoquefichus_sp_KLE1796	Coprobacter_secundus	5.5595703125
Candidatus_Stoquefichus_sp_KLE1796	PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria)	9.7337646484375
Cardiobacterium_hominis	Selenomonas_sputigena	0.673095703125
Catabacter_hongkongensis	PWY-6168:_flavin_biosynthesis_III_(fungi)	12.8258056640625
Catenibacterium_mitsuokai	PWY-4981:_L-proline_biosynthesis_II_(from_arginine)	5.72210693359375
