base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	Streptococcus_anginosus_group	3.0517578125e-05	34.66462198893233	37.8668823242188	0.0	37.8669128417969	3	37.8668823242188	124082200.00000016
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	Streptococcus_mitis	3.0517578125e-05	34.59668986002603	42.11364237467446	6.608192044863412	42.1136728922526	3	42.11364237467446	137997983.33333328
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	Streptococcus_vestibularis	3.0517578125e-05	24.010482788085934	36.0408782958984	0.0	36.0409088134766	3	36.0408782958984	118098749.99999988
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	Actinomyces_odontolyticus	3.0517578125e-05	32.620361328125	32.620361328125	0.0	32.6203918457031	2	32.620361328125	106890400.0
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	3.0517578125e-05	3.123779296875	26.7851257324219		26.78515625	1	26.7851257324219	87769500.00000007
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	HISTSYN-PWY:_L-histidine_biosynthesis	3.0517578125e-05	18.9493103027344	26.8874206542969		26.887451171875	1	26.8874206542969	88104700.00000007
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	PWY-5695:_urate_biosynthesis/inosine_5'-phosphate_degradation	3.0517578125e-05	13.1623229980469	25.2280578613281		25.2280883789062	1	25.2280578613281	82667299.99999993
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	PWY-6609:_adenine_and_adenosine_salvage_III	3.0517578125e-05	22.1240234375	26.6052551269531		26.6052856445312	1	26.6052551269531	87180099.99999993
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	PWY-6700:_queuosine_biosynthesis	3.0517578125e-05	18.2617950439453	25.6877899169922	0.9272792204091695	25.6878204345703	2	25.6877899169922	84173750.00000004
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	PWY66-422:_D-galactose_degradation_V_(Leloir_pathway)	3.0517578125e-05	24.7695770263672	26.3941955566406	0.863512724486111	26.3942260742188	2	26.3941955566406	86488499.99999993
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	3.0517578125e-05	12.9967651367188	28.5859069824219		28.5859375	1	28.5859069824219	93670300.00000007
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	Streptococcus_anginosus_group	3.0517578125e-05	34.66462198893233	37.8668823242188	0.0	37.8669128417969	3	37.8668823242188	124082200.00000016
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	Streptococcus_mitis	3.0517578125e-05	34.59668986002603	42.11364237467446	6.608192044863412	42.1136728922526	3	42.11364237467446	137997983.33333328
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	Streptococcus_vestibularis	3.0517578125e-05	24.010482788085934	36.0408782958984	0.0	36.0409088134766	3	36.0408782958984	118098749.99999988
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	Actinomyces_odontolyticus	3.0517578125e-05	32.620361328125	32.620361328125	0.0	32.6203918457031	2	32.620361328125	106890400.0
