Feature1	Feature2	IG
Anaerostipes_hadrus	Atopobium_deltae	4.22817993164062
Anaerotruncus_colihominis	Roseburia_sp_CAG_303	5.60729217529297
Anaerotruncus_sp_CAG_528	TRPSYN-PWY:_L-tryptophan_biosynthesis	4.68299865722656
Asaccharobacter_celatus	Enterorhabdus_caecimuris	23.2788162231445
Atopobium_parvulum	Victivallis_vadensis	6.16644287109375
Bacteroides_caccae	Bacteroides_sp_CAG_443	5.20301818847656
Bacteroides_cellulosilyticus	Eubacterium_sp_CAG_251	16.4700622558594
Bacteroides_coprocola	Aeriscardovia_aeriphila	11.2524490356445
Bacteroides_coprophilus	Eubacterium_sp_CAG_251	5.64083099365234
Bacteroides_dorei	Eubacterium_sp_CAG_38	8.99416351318359
Bacteroides_dorei	Phascolarctobacterium_faecium	4.23716735839844
Bacteroides_dorei	Streptococcus_vestibularis	7.18721771240234
Bacteroides_faecis_CAG_32	COA-PWY:_coenzyme_A_biosynthesis_I	5.96741485595703
Bacteroides_fragilis	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	7.90159606933594
Bacteroides_fragilis	Cloacibacillus_porcorum	7.31935119628906
Bacteroides_fragilis	PWY-6737:_starch_degradation_V	8.78643035888672
Bacteroides_fragilis	Parabacteroides_goldsteinii	8.29220581054688
Bacteroides_intestinalis	Bifidobacterium_animalis	5.15708160400391
Bacteroides_intestinalis	Eubacterium_sp_CAG_274	8.58314514160156
Bacteroides_massiliensis	Eubacterium_sulci	7.28398895263672
Bacteroides_massiliensis	Haemophilus_sp_HMSC71H05	5.08783721923828
Bacteroides_nordii	Anaerococcus_vaginalis	6.969482421875
Bacteroides_nordii	Bacteroides_sp_OM05_12	2.65557861328125
Bacteroides_nordii	Eisenbergiella_massiliensis	12.7124786376953
Bacteroides_nordii	PWY-4041:_&gamma;-glutamyl_cycle	1.89425659179688
Bacteroides_nordii	Rothia_dentocariosa	8.31321716308594
Bacteroides_ovatus	PWY-7357:_thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	16.6932983398438
Bacteroides_plebeius	Prevotella_sp_CAG_755	5.24407196044922
Bacteroides_salyersiae	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	7.93964385986328
Bacteroides_salyersiae	PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	7.24116516113281
Bacteroides_salyersiae	Parabacteroides_sp_CAG_409	4.04190063476562
Bacteroides_salyersiae	TRNA-CHARGING-PWY:_tRNA_charging	9.39289093017578
Bacteroides_sp_CAG_598	PANTO-PWY:_phosphopantothenate_biosynthesis_I	6.73567962646484
Bacteroides_sp_CAG_633	Bifidobacterium_gallinarum	2.46257781982422
Bacteroides_sp_CAG_633	Bifidobacterium_pullorum	2.98557281494141
