base	contributing	base_IG_1D	contributing_IG_1D	IG_2D_added	total_IG
Akkermansia_muciniphila	Gordonibacter_pamelaeae	4.57035827636719	14.6438446044922	30.4374542236328	35.0078125
Akkermansia_muciniphila	Blautia_hydrogenotrophica	4.57035827636719	25.5003662109375	27.4549560546875	32.0253143310547
PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Akkermansia_muciniphila	4.10249328613281	4.57035827636719	25.9854431152344	30.0879364013672
Akkermansia_muciniphila	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	4.57035827636719	4.10249328613281	25.517578125	30.0879364013672
Escherichia_coli	Gordonibacter_pamelaeae	0.3668212890625	14.6438446044922	25.1879425048828	25.5547637939453
Escherichia_coli	Blautia_hydrogenotrophica	0.3668212890625	25.5003662109375	27.5479736328125	27.914794921875
Faecalibacterium_prausnitzii	Parvimonas_micra	1.3011474609375	13.7366943359375	26.6549072265625	27.9560546875
Gemmiger_formicilis	Faecalibacterium_prausnitzii	0.0358734130859375	1.3011474609375	33.4430541992188	33.4789276123047
Faecalibacterium_prausnitzii	Gemmiger_formicilis	1.3011474609375	0.0358734130859375	32.1777801513672	33.4789276123047
Faecalibacterium_prausnitzii	Peptostreptococcus_stomatis	1.3011474609375	17.6740570068359	32.4528656005859	33.7540130615234
Gordonibacter_pamelaeae	Faecalibacterium_prausnitzii	14.6438446044922	1.3011474609375	25.2430114746094	39.8868560791016
Faecalibacterium_prausnitzii	Gordonibacter_pamelaeae	1.3011474609375	14.6438446044922	38.5857086181641	39.8868560791016
Faecalibacterium_prausnitzii	Roseburia_sp_CAG_182	1.3011474609375	13.3745574951172	28.5047149658203	29.8058624267578
Faecalibacterium_prausnitzii	Eubacterium_sulci	1.3011474609375	22.1616516113281	28.6520690917969	29.9532165527344
Faecalibacterium_prausnitzii	Coprococcus_eutactus	1.3011474609375	15.9477844238281	27.5193939208984	28.8205413818359
Faecalibacterium_prausnitzii	Mogibacterium_diversum	1.3011474609375	21.3988952636719	29.9455718994141	31.2467193603516
Faecalibacterium_prausnitzii	Bifidobacterium_bifidum	1.3011474609375	18.0427398681641	27.721435546875	29.0225830078125
Faecalibacterium_prausnitzii	Blautia_hydrogenotrophica	1.3011474609375	25.5003662109375	34.3653106689453	35.6664581298828
Faecalibacterium_prausnitzii	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	1.3011474609375	4.10249328613281	27.5774841308594	28.8786315917969
Bacteroides_vulgatus	Gordonibacter_pamelaeae	0.3670654296875	14.6438446044922	25.9438323974609	26.3108978271484
Bacteroides_vulgatus	Blautia_hydrogenotrophica	0.3670654296875	25.5003662109375	26.5726623535156	26.9397277832031
Anaerostipes_hadrus	Gordonibacter_pamelaeae	4.34884643554688	14.6438446044922	24.88818359375	29.2370300292969
Anaerostipes_hadrus	Blautia_hydrogenotrophica	4.34884643554688	25.5003662109375	28.9662475585938	33.3150939941406
Alistipes_putredinis	Gordonibacter_pamelaeae	1.84077453613281	14.6438446044922	25.6806182861328	27.5213928222656
Alistipes_putredinis	Blautia_hydrogenotrophica	1.84077453613281	25.5003662109375	25.3164825439453	27.1572570800781
Phascolarctobacterium_succinatutens	Gordonibacter_pamelaeae	1.911865234375	14.6438446044922	25.7447662353516	27.6566314697266
Phascolarctobacterium_succinatutens	Blautia_hydrogenotrophica	1.911865234375	25.5003662109375	26.4225769042969	28.3344421386719
Clostridium_sp_CAG_413	Gordonibacter_pamelaeae	1.2723388671875	14.6438446044922	25.4989166259766	26.7712554931641
Clostridium_sp_CAG_413	Blautia_hydrogenotrophica	1.2723388671875	25.5003662109375	27.1477203369141	28.4200592041016
Desulfovibrio_piger	Blautia_hydrogenotrophica	1.91938781738281	25.5003662109375	26.4617004394531	28.3810882568359
Gemmiger_formicilis	Coprococcus_comes	0.0358734130859375	12.9241485595703	26.0614776611328	26.0973510742188
Eubacterium_rectale	Bifidobacterium_bifidum	0.123291015625	18.0427398681641	25.6790466308594	25.8023376464844
Eubacterium_rectale	Blautia_hydrogenotrophica	0.123291015625	25.5003662109375	28.8308868408203	28.9541778564453
Bacteroides_caccae	Gordonibacter_pamelaeae	0.078826904296875	14.6438446044922	25.3388366699219	25.4176635742188
Bacteroides_caccae	Blautia_hydrogenotrophica	0.078826904296875	25.5003662109375	27.2495880126953	27.3284149169922
Gemmiger_formicilis	Parvimonas_micra	0.0358734130859375	13.7366943359375	25.7877349853516	25.8236083984375
Agathobaculum_butyriciproducens	Parvimonas_micra	0.066375732421875	13.7366943359375	30.5214385986328	30.5878143310547
PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Parvimonas_micra	4.10249328613281	13.7366943359375	25.2644348144531	29.3669281005859
Barnesiella_intestinihominis	Gordonibacter_pamelaeae	1.57139587402344	14.6438446044922	26.8553924560547	28.4267883300781
Barnesiella_intestinihominis	Blautia_hydrogenotrophica	1.57139587402344	25.5003662109375	28.2180633544922	29.7894592285156
Bifidobacterium_pseudolongum	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953	25.1558532714844
Eubacterium_eligens	Gordonibacter_pamelaeae	2.64004516601562	14.6438446044922	28.6769714355469	31.3170166015625
Eubacterium_eligens	Eubacterium_sulci	2.64004516601562	22.1616516113281	24.9526977539062	27.5927429199219
Eubacterium_eligens	Blautia_hydrogenotrophica	2.64004516601562	25.5003662109375	33.2190856933594	35.859130859375
Firmicutes_bacterium_CAG_83	Gordonibacter_pamelaeae	0.57257080078125	14.6438446044922	28.1003723144531	28.6729431152344
Firmicutes_bacterium_CAG_83	Blautia_hydrogenotrophica	0.57257080078125	25.5003662109375	28.4367523193359	29.0093231201172
Gemmiger_formicilis	Dorea_longicatena	0.0358734130859375	8.71818542480469	28.9438018798828	28.9796752929688
Oscillibacter_sp_57_20	Gordonibacter_pamelaeae	0.0782623291015625	14.6438446044922	25.6132049560547	25.6914672851562
Oscillibacter_sp_57_20	Blautia_hydrogenotrophica	0.0782623291015625	25.5003662109375	26.0478363037109	26.1260986328125
Clostridium_sp_CAG_510	Gordonibacter_pamelaeae	0.0017852783203125	14.6438446044922	24.9069671630859	24.9087524414062
Clostridium_sp_CAG_510	Blautia_hydrogenotrophica	0.0017852783203125	25.5003662109375	26.1469879150391	26.1487731933594
Prevotella_intermedia	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.7967224121094	25.9169158935547
Paraprevotella_xylaniphila	Gordonibacter_pamelaeae	0.3880615234375	14.6438446044922	26.4510192871094	26.8390808105469
Paraprevotella_xylaniphila	Blautia_hydrogenotrophica	0.3880615234375	25.5003662109375	26.7595062255859	27.1475677490234
Clostridium_leptum	Gordonibacter_pamelaeae	0.005035400390625	14.6438446044922	27.3632659912109	27.3683013916016
Clostridium_leptum	Blautia_hydrogenotrophica	0.005035400390625	25.5003662109375	27.7708892822266	27.7759246826172
Collinsella_intestinalis	Firmicutes_bacterium_CAG_110	1.15223693847656	8.59896850585938	28.3578186035156	29.5100555419922
PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Firmicutes_bacterium_CAG_110	4.10249328613281	8.59896850585938	26.8862457275391	30.9887390136719
Agathobaculum_butyriciproducens	Clostridium_sp_CAG_242	0.066375732421875	11.9191436767578	26.8287353515625	26.8951110839844
Fusicatenibacter_saccharivorans	Gordonibacter_pamelaeae	0.12713623046875	14.6438446044922	25.9568786621094	26.0840148925781
Fusicatenibacter_saccharivorans	Blautia_hydrogenotrophica	0.12713623046875	25.5003662109375	26.6619262695312	26.7890625
Slackia_isoflavoniconvertens	Blautia_hydrogenotrophica	1.74794006347656	25.5003662109375	26.1126708984375	27.8606109619141
Gemmiger_formicilis	Blautia_obeum	0.0358734130859375	12.18017578125	25.9287872314453	25.9646606445312
Gemmiger_formicilis	Peptostreptococcus_stomatis	0.0358734130859375	17.6740570068359	27.7178039550781	27.7536773681641
Gemmiger_formicilis	Gemella_morbillorum	0.0358734130859375	10.2053527832031	26.1991424560547	26.2350158691406
Agathobaculum_butyriciproducens	Gemmiger_formicilis	0.066375732421875	0.0358734130859375	33.766357421875	33.8327331542969
Gemmiger_formicilis	Agathobaculum_butyriciproducens	0.0358734130859375	0.066375732421875	33.7968597412109	33.8327331542969
Gemmiger_formicilis	Acidaminococcus_intestini	0.0358734130859375	9.58273315429688	25.5556488037109	25.5915222167969
Collinsella_stercoris	Gemmiger_formicilis	3.04522705078125	0.0358734130859375	26.5928039550781	29.6380310058594
Gemmiger_formicilis	Collinsella_stercoris	0.0358734130859375	3.04522705078125	29.6021575927734	29.6380310058594
Gordonibacter_pamelaeae	Gemmiger_formicilis	14.6438446044922	0.0358734130859375	26.3184051513672	40.9622497558594
Gemmiger_formicilis	Gordonibacter_pamelaeae	0.0358734130859375	14.6438446044922	40.9263763427734	40.9622497558594
Gemmiger_formicilis	[Collinsella]_massiliensis	0.0358734130859375	10.7958831787109	28.4542999267578	28.4901733398438
Collinsella_intestinalis	Gemmiger_formicilis	1.15223693847656	0.0358734130859375	29.4992218017578	30.6514587402344
Gemmiger_formicilis	Collinsella_intestinalis	0.0358734130859375	1.15223693847656	30.6155853271484	30.6514587402344
Gemmiger_formicilis	Enterorhabdus_caecimuris	0.0358734130859375	10.54150390625	28.1241912841797	28.1600646972656
Gemmiger_formicilis	Eubacterium_sulci	0.0358734130859375	22.1616516113281	30.3492736816406	30.3851470947266
Gemmiger_formicilis	Bacteroides_coprocola	0.0358734130859375	7.05099487304688	24.962158203125	24.9980316162109
Gemmiger_formicilis	Eggerthella_lenta	0.0358734130859375	10.5843353271484	25.6369934082031	25.6728668212891
Gemmiger_formicilis	Streptococcus_australis	0.0358734130859375	10.2621612548828	25.0137481689453	25.0496215820312
Gemmiger_formicilis	Clostridium_innocuum	0.0358734130859375	13.5889129638672	26.7566528320312	26.7925262451172
Gemmiger_formicilis	Romboutsia_ilealis	0.0358734130859375	9.86744689941406	28.7680053710938	28.8038787841797
Gemmiger_formicilis	Coprococcus_eutactus	0.0358734130859375	15.9477844238281	25.8583679199219	25.8942413330078
Gemmiger_formicilis	Mogibacterium_diversum	0.0358734130859375	21.3988952636719	33.3726654052734	33.4085388183594
Gemmiger_formicilis	Eubacterium_sp_CAG_274	0.0358734130859375	6.63005065917969	25.0029754638672	25.0388488769531
Gemmiger_formicilis	Bifidobacterium_bifidum	0.0358734130859375	18.0427398681641	32.9859771728516	33.0218505859375
Gemmiger_formicilis	Blautia_hydrogenotrophica	0.0358734130859375	25.5003662109375	35.2872009277344	35.3230743408203
Gemmiger_formicilis	Streptococcus_thermophilus	0.0358734130859375	12.4365539550781	29.9049072265625	29.9407806396484
Gemmiger_formicilis	PWY-7219:_adenosine_ribonucleotides_de_novo_biosynthesis	0.0358734130859375	9.35386657714844	32.517578125	32.5534515380859
Gemmiger_formicilis	PWY-6609:_adenine_and_adenosine_salvage_III	0.0358734130859375	14.1463623046875	31.1890563964844	31.2249298095703
Gemmiger_formicilis	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	0.0358734130859375	7.18386840820312	25.1046447753906	25.1405181884766
PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Gemmiger_formicilis	0.467178344726562	0.0358734130859375	25.6349182128906	26.1020965576172
Gemmiger_formicilis	PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	0.0358734130859375	0.467178344726562	26.0662231445312	26.1020965576172
Gemmiger_formicilis	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	0.0358734130859375	7.76515197753906	28.4639587402344	28.4998321533203
Gemmiger_formicilis	PWY-3841:_folate_transformations_II	0.0358734130859375	11.4075927734375	28.6923828125	28.7282562255859
Gemmiger_formicilis	PWY-6700:_queuosine_biosynthesis	0.0358734130859375	11.9738922119141	26.0666351318359	26.1025085449219
Gemmiger_formicilis	PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	0.0358734130859375	6.76734924316406	26.6529235839844	26.6887969970703
Gemmiger_formicilis	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	0.0358734130859375	10.0096740722656	28.4552459716797	28.4911193847656
Gemmiger_formicilis	GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	0.0358734130859375	12.3609924316406	27.2596282958984	27.2955017089844
PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Gemmiger_formicilis	4.10249328613281	0.0358734130859375	29.2121887207031	33.3146820068359
Gemmiger_formicilis	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	0.0358734130859375	4.10249328613281	33.27880859375	33.3146820068359
Parabacteroides_distasonis	Blautia_hydrogenotrophica	6.64984130859375	25.5003662109375	25.2979888916016	31.9478302001953
Prevotella_copri	Gordonibacter_pamelaeae	0.0162506103515625	14.6438446044922	27.4034118652344	27.4196624755859
