base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
Acidovorax_sp_MR_S7	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_junii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_lwoffii	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.0034027099609		25.1235961914062	1	25.0034027099609	20802.627904024426
Acinetobacter_parvus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_pittii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_ursingii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinobaculum_massiliense	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinobaculum_sp_oral_taxon_183	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_cardiffensis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_europaeus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_georgiae	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_graevenitzii	Blautia_hydrogenotrophica	0.44134521484375	25.5003662109375	26.3184814453125	0.0	26.759826660156204	3	26.3184814453125	5963.241598672383
Actinomyces_graevenitzii	Gordonibacter_pamelaeae	0.44134521484375	14.6438446044922	25.8185577392578		26.2599029541016	1	25.8185577392578	5849.968883971785
Actinomyces_hongkongensis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_johnsonii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_massiliensis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_meyeri	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
