Feature1	Feature2	IG
Atopobium_rimae	ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	0.721542358398438
Atopobium_rimae	ARGDEG-PWY:_superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	0.721542358398438
Atopobium_rimae	ARGORNPROST-PWY:_arginine,_ornithine_and_proline_interconversion	0.721542358398438
Atopobium_rimae	AST-PWY:_L-arginine_degradation_II_(AST_pathway)	0.721542358398438
Atopobium_rimae	Acetatifactor_muris	0.721542358398438
Atopobium_rimae	Acetomicrobium_flavidum	0.721542358398438
Atopobium_rimae	Acholeplasma_oculi	0.721542358398438
Atopobium_rimae	Acidovorax_caeni	0.721542358398438
Atopobium_rimae	Acidovorax_sp_MR_S7	0.721542358398438
Atopobium_rimae	Acinetobacter_idrijaensis	0.721542358398438
Atopobium_rimae	Acinetobacter_johnsonii	0.721542358398438
Atopobium_rimae	Acinetobacter_junii	0.721542358398438
Atopobium_rimae	Acinetobacter_lwoffii	0.721542358398438
Atopobium_rimae	Acinetobacter_parvus	0.721542358398438
Atopobium_rimae	Acinetobacter_pittii	0.721542358398438
Atopobium_rimae	Acinetobacter_ursingii	0.721542358398438
Atopobium_rimae	Actinobaculum_massiliense	0.721542358398438
Atopobium_rimae	Actinomyces_europaeus	0.721542358398438
Atopobium_rimae	Actinomyces_georgiae	0.721542358398438
Atopobium_rimae	Actinomyces_hongkongensis	0.721542358398438
Atopobium_rimae	Actinomyces_johnsonii	0.721542358398438
Atopobium_rimae	Actinomyces_meyeri	0.721542358398438
Atopobium_rimae	Actinomyces_radicidentis	0.721542358398438
Atopobium_rimae	Actinomyces_sp_oral_taxon_170	0.721542358398438
Atopobium_rimae	Actinomyces_sp_oral_taxon_180	0.721542358398438
Atopobium_rimae	Actinomyces_sp_oral_taxon_897	0.721542358398438
Atopobium_rimae	Actinomyces_urogenitalis	0.721542358398438
Atopobium_rimae	Actinotignum_schaalii	0.721542358398438
Atopobium_rimae	Actinotignum_timonense	0.721542358398438
Atopobium_rimae	Aerococcus_christensenii	0.721542358398438
Atopobium_rimae	Aerococcus_urinaeequi	0.721542358398438
Atopobium_rimae	Aerococcus_viridans	0.721542358398438
Atopobium_rimae	Aeromonas_allosaccharophila	0.721542358398438
Atopobium_rimae	Aeromonas_dhakensis	0.721542358398438
Atopobium_rimae	Aeromonas_hydrophila	0.721542358398438
Atopobium_rimae	Aeromonas_media	0.721542358398438
Atopobium_rimae	Aggregatibacter_sp_oral_taxon_458	0.721542358398438
Atopobium_rimae	Agitococcus_lubricus	0.721542358398438
Atopobium_rimae	Alcaligenes_aquatilis	0.721542358398438
Atopobium_rimae	Alistipes_sp_An66	0.721542358398438
Atopobium_rimae	Alistipes_sp_CAG_831	0.721542358398438
Atopobium_rimae	Alistipes_sp_CHKCI003	0.721542358398438
Atopobium_rimae	Alkalibacterium_thalassium	0.721542358398438
Atopobium_rimae	Alkaliphilus_oremlandii	0.721542358398438
