cohort	run	base	contributing	base_IG_1D	contributing_IG_1D	IG_2D_added	total_IG
NagySzakalD_2017	1	Alistipes_inops	Coprococcus_catus	0.710067749023438	9.64404296875	26.273323059082	26.9833908081055
NagySzakalD_2017	1	Campylobacter_hominis	Coprococcus_catus	1.31524658203125	9.64404296875	25.8203887939453	27.1356353759766
