cohort	disease	rank_in_cohort	base	contributing	total_IG_mean	base_IG_1D_mean	IG_2D_added_mean	ig_gain_pct
QinN_2014	cirrhosis; control	20	Clostridium_aldenense	Streptococcus_anginosus_group	96.77212778727214	14.284545898437491	82.48758188883467	577.460302030725
RubelMA_2020	STH; control	1	Alistipes_shahii	Prevotella_sp_885	42.7177581787109	14.996208190918	27.721549987793	184.8570627645842
RubelMA_2020	STH; control	2	Prevotella_sp_885	Alistipes_shahii	42.7177581787109	10.3194580078125	32.3983001708984	313.95350556561
RubelMA_2020	STH; control	3	Prevotella_sp_885	Firmicutes_bacterium_CAG_791	42.4084548950195	10.3194580078125	32.088996887207	310.9562233105028
RubelMA_2020	STH; control	4	Eubacterium_eligens	Prevotella_sp_885	40.7661743164062	4.58836364746094	36.1778106689453	788.4686883735772
RubelMA_2020	STH; control	5	Prevotella_sp_885	Eubacterium_eligens	40.7661743164062	10.3194580078125	30.4467163085938	295.04181600955843
RubelMA_2020	STH; control	6	Bacteroides_uniformis	Firmicutes_bacterium_CAG_791	40.0754928588867	10.0741882324219	30.0013046264648	297.8036933031605
RubelMA_2020	STH; control	7	Bacteroides_uniformis	Prevotella_sp_885	39.8269805908203	10.0741882324219	29.7527923583984	295.3368715371485
RubelMA_2020	STH; control	8	Prevotella_sp_885	Bacteroides_uniformis	39.8269805908203	10.3194580078125	29.5075225830078	285.94062363225555
RubelMA_2020	STH; control	9	Bacteroides_dorei	Prevotella_sp_885	39.0400543212891	10.4746704101562	28.5653839111328	272.7091430336167
RubelMA_2020	STH; control	10	Prevotella_sp_885	Bacteroides_dorei	39.0400543212891	10.3194580078125	28.7205963134766	278.3149685936339
RubelMA_2020	STH; control	11	Bacteroides_uniformis	Fusicatenibacter_saccharivorans	38.4144821166992	10.0741882324219	28.3402938842773	281.31590586196654
RubelMA_2020	STH; control	12	Prevotella_sp_885	Bacteroides_xylanisolvens	38.4020538330078	10.3194580078125	28.0825958251953	272.1324686232063
RubelMA_2020	STH; control	13	Prevotella_sp_885	Prevotella_sp_CAG_520	38.3576965332031	10.3194580078125	28.0382385253906	271.7026272519723
RubelMA_2020	STH; control	14	Prevotella_sp_CAG_520	Prevotella_sp_885	38.3576965332031	10.41943359375	27.9382629394531	268.13610056703664
RubelMA_2020	STH; control	15	Eubacterium_eligens	Firmicutes_bacterium_CAG_791	38.3055419921875	4.58836364746094	33.7171783447266	734.8410225371882
RubelMA_2020	STH; control	16	Prevotella_sp_885	Ruminococcus_lactaris	37.7818145751953	10.3194580078125	27.4623565673828	266.12208263837124
RubelMA_2020	STH; control	17	Prevotella_sp_885	Fusicatenibacter_saccharivorans	37.761589050293	10.3194580078125	27.4421310424805	265.9260885765999
RubelMA_2020	STH; control	18	Fusicatenibacter_saccharivorans	Bacteroides_thetaiotaomicron	37.3625869750977	9.25564575195312	28.1069412231445	303.67347645315175
RubelMA_2020	STH; control	19	Fusicatenibacter_saccharivorans	Bacteroides_uniformis	37.0419921875	9.25564575195312	27.7863464355469	300.2097009782753
RubelMA_2020	STH; control	20	Ruminococcus_torques	Fusicatenibacter_saccharivorans	36.9223251342773	2.63455200195312	34.2877731323242	1301.4650349245346
ZhuF_2020	control; schizophrenia	1	Bacteroides_plebeius	Clostridium_innocuum	31.5990142822266	0.0997772216796875	31.4992370605469	31569.567212111968
ZhuF_2020	control; schizophrenia	2	Bacteroides_plebeius	Clostridium_aldenense	30.6524353027344	0.0997772216796875	30.5526580810547	30620.87475149107
ZhuF_2020	control; schizophrenia	3	Bacteroides_finegoldii	Bacteroides_plebeius	30.2587432861328	1.17454528808594	29.0841979980469	2476.209158817795
ZhuF_2020	control; schizophrenia	4	Bacteroides_plebeius	Bacteroides_finegoldii	30.2587432861328	0.0997772216796875	30.1589660644531	30226.30371616453
ZhuF_2020	control; schizophrenia	5	Bacteroides_plebeius	Haemophilus_sputorum	30.2337799072266	0.0997772216796875	30.1340026855469	30201.28460009178
ZhuF_2020	control; schizophrenia	6	Bacteroides_plebeius	PWY-6700:_queuosine_biosynthesis	30.0880432128906	0.0997772216796875	29.9882659912109	30055.22251108728
ZhuF_2020	control; schizophrenia	7	PWY-6700:_queuosine_biosynthesis	Bacteroides_plebeius	30.0880432128906	0.1009521484375	29.9870910644531	29704.262394195863
ZhuF_2020	control; schizophrenia	8	Bacteroides_plebeius	PWY-6151:_S-adenosyl-L-methionine_cycle_I	28.9513854980469	0.0997772216796875	28.8516082763672	28916.026915430502
ZhuF_2020	control; schizophrenia	9	Bacteroides_plebeius	PWY-2942:_L-lysine_biosynthesis_III	28.2347106933594	0.0997772216796875	28.1349334716797	28197.751949839436
ZhuF_2020	control; schizophrenia	10	PWY-2942:_L-lysine_biosynthesis_III	Bacteroides_plebeius	28.2347106933594	0.0981903076171875	28.1365203857422	28655.08935508937
ZhuF_2020	control; schizophrenia	11	Bacteroides_plebeius	Streptococcus_thermophilus	28.2165298461914	0.0997772216796875	28.1167526245117	28179.530509252163
ZhuF_2020	control; schizophrenia	12	Bacteroides_plebeius	PWY-1042:_glycolysis_IV_(plant_cytosol)	28.1350326538086	0.0997772216796875	28.0352554321289	28097.851353417944
ZhuF_2020	control; schizophrenia	13	Bacteroides_plebeius	Coprobacillus_cateniformis	27.7690124511719	0.0997772216796875	27.6692352294922	27731.013916501008
ZhuF_2020	control; schizophrenia	14	Bacteroides_plebeius	Mycobacterium_avium	27.6896667480469	0.0997772216796875	27.5898895263672	27651.491053677943
ZhuF_2020	control; schizophrenia	15	Mycobacterium_avium	Bacteroides_plebeius	27.6896667480469	1.34187316894531	26.3477935791016	1963.508488645803
ZhuF_2020	control; schizophrenia	16	Bacteroides_plebeius	Bifidobacterium_longum	27.6430969238281	0.0997772216796875	27.5433197021484	27604.81725034405
ZhuF_2020	control; schizophrenia	17	Bifidobacterium_longum	Bacteroides_plebeius	27.6430969238281	0.710372924804688	26.9327239990234	3791.350016109969
ZhuF_2020	control; schizophrenia	18	Bacteroides_plebeius	Dialister_sp_CAG_357	27.6186370849609	0.0997772216796875	27.5188598632812	27580.30279859301
ZhuF_2020	control; schizophrenia	19	Dialister_sp_CAG_357	Bacteroides_plebeius	27.6186370849609	0.361663818359375	27.2569732666016	7536.5496582566975
ZhuF_2020	control; schizophrenia	20	Bacteroides_plebeius	Haemophilus_sp_HMSC71H05	27.544921875	0.0997772216796875	27.4451446533203	27506.423000458773
