disease	base	contributing	n_cohorts	cohorts	mean_total_ig	min_total_ig	max_total_ig	mean_ig_gain_pct
IBD; control	Eubacterium_eligens	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	34.9163360595703	31.3170166015625	38.5156555175781	1081.7860783766741
IBD; control	Gemmiger_formicilis	Blautia_hydrogenotrophica	2	HallAB_2017, NielsenHB_2014	34.87535349527997	33.61377461751303	36.1369323730469	1042.735999939508
IBD; control	Gordonibacter_pamelaeae	Faecalibacterium_prausnitzii	2	HallAB_2017, NielsenHB_2014	34.8083267211914	29.7297973632812	39.8868560791016	575.2033093690096
IBD; control	Faecalibacterium_prausnitzii	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	34.8083267211914	29.7297973632812	39.8868560791016	22360.490562253603
IBD; control	Gemmiger_formicilis	Bifidobacterium_bifidum	2	HallAB_2017, NielsenHB_2014	34.703010559082045	33.0218505859375	36.3841705322266	46619.71502962344
IBD; control	Gemmiger_formicilis	Collinsella_stercoris	2	HallAB_2017, NielsenHB_2014	34.7001724243164	29.6380310058594	39.7623138427734	41967.83504342009
IBD; control	Collinsella_stercoris	Gemmiger_formicilis	2	HallAB_2017, NielsenHB_2014	34.7001724243164	29.6380310058594	39.7623138427734	375871.2130226701
IBD; control	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Gemmiger_formicilis	2	HallAB_2017, NielsenHB_2014	34.555908203125	33.3146820068359	35.7971343994141	1370.3425653839374
IBD; control	Gemmiger_formicilis	GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	2	HallAB_2017, NielsenHB_2014	34.45955657958985	27.2955017089844	41.6236114501953	38738.35416357574
IBD; control	Collinsella_intestinalis	Gemmiger_formicilis	2	HallAB_2017, NielsenHB_2014	34.29573822021485	30.6514587402344	37.9400177001953	8093.007878041679
IBD; control	Gemmiger_formicilis	Collinsella_intestinalis	2	HallAB_2017, NielsenHB_2014	34.29573822021485	30.6514587402344	37.9400177001953	43345.57175121392
IBD; control	Gemmiger_formicilis	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	2	HallAB_2017, NielsenHB_2014	34.200550079345724	32.60396575927735	35.7971343994141	3397.4105432075485
IBD; control	Gemmiger_formicilis	Gemella_morbillorum	2	HallAB_2017, NielsenHB_2014	34.1672668457031	26.2350158691406	42.0995178222656	37269.339819984336
IBD; control	Gemmiger_formicilis	Peptostreptococcus_stomatis	2	HallAB_2017, NielsenHB_2014	34.13841247558595	27.7536773681641	40.5231475830078	39355.95839238174
IBD; control	Ruminococcus_bromii	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	2	HallAB_2017, NielsenHB_2014	34.0749816894531	28.8006134033203	39.3493499755859	803.5259666206609
IBD; control	Butyricimonas_virosa	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	34.071380615234375	30.6942138671875	37.44854736328125	472.66654186858614
IBD; control	Gemmiger_formicilis	Eggerthella_lenta	2	HallAB_2017, NielsenHB_2014	34.0254135131836	25.6728668212891	42.3779602050781	36491.134726147524
IBD; control	Gemmiger_formicilis	PWY-6609:_adenine_and_adenosine_salvage_III	2	HallAB_2017, NielsenHB_2014	33.9805450439453	31.2249298095703	36.7361602783203	44121.90085196099
IBD; control	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	33.82381947835288	29.784220377604168	37.8634185791016	1247.0065544829831
IBD; control	PWY-5686:_UMP_biosynthesis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	33.80025482177735	27.0323638916016	40.5681457519531	1665.4230676573227
IBD; control	Gemmiger_formicilis	Coprococcus_eutactus	2	HallAB_2017, NielsenHB_2014	33.610529581705734	25.8942413330078	41.32681783040367	36925.04119162152
IBD; control	Collinsella_intestinalis	Coprococcus_eutactus	2	HallAB_2017, NielsenHB_2014	33.5796432495117	31.5507354736328	35.6085510253906	3261.7889650562497
IBD; control	Gemmiger_formicilis	PWY-6700:_queuosine_biosynthesis	2	HallAB_2017, NielsenHB_2014	33.53302001953125	26.1025085449219	40.9635314941406	37062.978333286526
IBD; control	Gemmiger_formicilis	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	2	HallAB_2017, NielsenHB_2014	33.48802947998045	28.4911193847656	38.4849395751953	40344.909497196524
IBD; control	Gemmiger_formicilis	Eubacterium_sulci	2	HallAB_2017, NielsenHB_2014	33.26240539550785	30.3851470947266	36.1396636962891	42940.03931293638
IBD; control	PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Coprococcus_eutactus	2	HallAB_2017, NielsenHB_2014	32.89068349202476	26.0000152587891	39.78135172526043	2895.267608948227
