data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
functions,PWY-5505:_L-glutamate_and_L-glutamine_biosynthesis,PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),0.001,112.503,112.502,11520200.0,2/28
functions,PWY-6527:_stachyose_degradation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.695,113.069,112.374,16170.23,4/28
functions,"GOLPDLCAT-PWY:_superpathway_of_glycerol_degradation_to_1,3-propanediol",P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,3.716,116.071,112.355,3023.71,2/28
functions,PWY-7883:_anhydromuropeptides_recycling_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.996,113.131,112.135,11254.69,2/28
functions,"PWY-7383:_anaerobic_energy_metabolism_(invertebrates,_cytosol)",P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.09,113.066,111.976,10276.81,2/28
functions,PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.151,112.119,111.969,74331.12,2/28
functions,LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,PWY0-461:_L-lysine_degradation_I,3.182,115.119,111.937,3517.68,2/28
functions,PWY-7560:_methylerythritol_phosphate_pathway_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,5.164,116.981,111.816,2165.12,8/28
functions,PWY-6305:_superpathway_of_putrescine_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.932,112.71,111.778,11989.56,6/28
functions,PWY-5862:_superpathway_of_demethylmenaquinol-9_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.192,111.775,111.583,58148.35,2/28
functions,GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.828,113.344,111.517,6101.7,2/28
functions,GLYCOCAT-PWY:_glycogen_degradation_I,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.848,114.254,111.406,3912.22,2/28
functions,PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.381,112.75,111.369,8061.6,4/28
functions,NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.931,113.182,111.25,5761.01,8/28
functions,PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,10.227,121.432,111.205,1087.33,16/28
functions,CATECHOL-ORTHO-CLEAVAGE-PWY:_catechol_degradation_to_&beta;-ketoadipate,ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.821,113.942,111.121,3938.65,4/28
functions,PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.025,111.04,111.015,447262.62,6/28
functions,PWY4FS-8:_phosphatidylglycerol_biosynthesis_II_(non-plastidic),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.238,111.147,110.909,46641.02,4/28
functions,URSIN-PWY:_ureide_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.085,110.799,110.714,130914.09,10/28
functions,"PWY-7371:_1,4-dihydroxy-6-naphthoate_biosynthesis_II",ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.347,112.018,110.67,8213.55,2/28
functions,PWY-5431:_aromatic_compounds_degradation_via_&beta;-ketoadipate,ORNDEG-PWY:_superpathway_of_ornithine_degradation,3.08,113.666,110.585,3590.2,4/28
functions,P185-PWY:_formaldehyde_assimilation_III_(dihydroxyacetone_cycle),ORNDEG-PWY:_superpathway_of_ornithine_degradation,4.216,114.791,110.575,2622.62,4/28
functions,PWY-6562:_norspermidine_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.427,110.985,110.558,25913.91,4/28
functions,PWY4FS-7:_phosphatidylglycerol_biosynthesis_I_(plastidic),ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.256,110.783,110.527,43198.38,2/28
functions,PWY-5417:_catechol_degradation_III_(ortho-cleavage_pathway),ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.225,112.689,110.464,4964.45,4/28
functions,PWY-6572:_chondroitin_sulfate_degradation_I_(bacterial),ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.171,110.488,110.318,64667.08,8/28
functions,PWY-6590:_superpathway_of_Clostridium_acetobutylicum_acidogenic_fermentation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.65,112.961,110.311,4162.31,6/28
functions,PWY-6876:_isopropanol_biosynthesis_(engineered),ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.271,111.544,110.273,8676.14,2/28
functions,PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.584,111.807,110.223,6960.21,8/28
functions,PWY-6562:_norspermidine_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.392,110.325,109.933,28020.26,8/28
functions,PWY-5130:_2-oxobutanoate_degradation_I,ORNDEG-PWY:_superpathway_of_ornithine_degradation,3.247,113.14,109.893,3384.25,12/28
functions,PWY4FS-8:_phosphatidylglycerol_biosynthesis_II_(non-plastidic),ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.172,110.046,109.874,63926.7,2/28
functions,PWY-7992:_superpathway_of_menaquinol-8_biosynthesis_III,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.673,111.488,109.814,6563.07,4/28
functions,PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.51,111.306,109.796,7271.97,12/28
functions,PWY-5005:_biotin_biosynthesis_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,4.715,114.463,109.748,2327.57,10/28
functions,PWY-6902:_chitin_degradation_II_(Vibrio),ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.58,111.235,109.655,6940.38,8/28
functions,PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.647,111.25,109.603,6655.82,6/28
