feature1,feature2,pair_ig_mean,pair_ig_std,pair_ig_count,f1_ig_mean,f2_ig_mean,mean_individual_ig,ig_difference_raw,ig_difference_pct
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),PWY-7204:_pyridoxal_5'-phosphate_salvage_II_(plants),64.932373046875,0.0,3,8.175537109375,62.124755859375,35.150146484375,29.7822265625,45.86653030684719
AEROBACTINSYN-PWY:_aerobactin_biosynthesis,P42-PWY:_incomplete_reductive_TCA_cycle,66.099609375,0.0,3,54.1689453125,17.693359375,35.93115234375,30.16845703125,45.64090062937683
PWY-7560:_methylerythritol_phosphate_pathway_II,PWY-7204:_pyridoxal_5'-phosphate_salvage_II_(plants),66.7440185546875,2.094744595536725,6,6.00146484375,66.64111328125,36.3212890625,30.4227294921875,45.58120735157755
ARGININE-SYN4-PWY:_L-ornithine_biosynthesis_II,PWY-2941:_L-lysine_biosynthesis_II,58.77294921875,0.0,3,21.701904296875,42.302490234375,32.002197265625,26.770751953125,45.54944461521846
PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing),PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation,69.539794921875,0.0,3,19.107666015625,56.783203125,37.9454345703125,31.5943603515625,45.433496585742624
PWY-8190:_L-glutamate_degradation_XI_(reductive_Stickland_reaction),PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis,67.1298828125,3.5834817429211867,15,53.7173828125,19.785986328125,36.7516845703125,30.3781982421875,45.252869466548354
P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate,CARNMET-PWY:_L-carnitine_degradation_I,55.535888671875,0.0,3,22.892333984375,38.37890625,30.6356201171875,24.9002685546875,44.836355643477305
PWY-1042:_glycolysis_IV,POLYAMINSYN3-PWY:_superpathway_of_polyamine_biosynthesis_II,60.384552001953125,1.7818665056800058,24,42.367340087890625,24.55694580078125,33.46214294433594,26.922409057617188,44.584928040447146
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation,METSYN-PWY:_superpathway_of_L-homoserine_and_L-methionine_biosynthesis,59.887451171875,0.0,3,10.21923828125,56.681884765625,33.4505615234375,26.4368896484375,44.14428921438734
PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV,HEMESYN2-PWY:_heme_b_biosynthesis_II_(oxygen-independent),64.90283203125,0.0,3,26.6796875,46.8291015625,36.75439453125,28.1484375,43.3701221026023
PWY-2941:_L-lysine_biosynthesis_II,PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),104.525390625,0.0,3,42.23681640625,78.5986328125,60.417724609375,44.107666015625,42.19803987517985
PWY0-1338:_polymyxin_resistance,PWY-2941:_L-lysine_biosynthesis_II,74.38330078125,0.0,3,44.8017578125,42.23681640625,43.519287109375,30.864013671875,41.49320257061646
PWY-2941:_L-lysine_biosynthesis_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,92.99267578125,0.0,3,15.851806640625,98.04296875,56.9473876953125,36.0452880859375,38.761426943696215
PWY-8190:_L-glutamate_degradation_XI_(reductive_Stickland_reaction),"PWY-7115:_C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type",68.1630859375,0.0,3,55.24755859375,30.45263671875,42.85009765625,25.31298828125,37.13591885270562
