data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
taxa,Gordonibacter_urolithinfaciens,Fusobacterium_nucleatum,5.315,436.074,430.759,8104.3,2/28
taxa,GGB6648_SGB9389,Fusobacterium_nucleatum,1.529,432.278,430.749,28170.97,2/28
taxa,Candidatus_Pseudobutyricicoccus_lothianensis,Fusobacterium_nucleatum,4.461,435.138,430.678,9654.95,2/28
taxa,Faecalibacillus_intestinalis,Fusobacterium_nucleatum,1.103,431.729,430.626,39049.01,2/28
taxa,Oribacterium_parvum,Fusobacterium_nucleatum,3.57,434.189,430.62,12062.24,22/28
taxa,GGB1681_SGB2313,Fusobacterium_nucleatum,10.509,441.027,430.518,4096.84,2/28
taxa,GGB3034_SGB4030,Fusobacterium_nucleatum,4.682,435.169,430.487,9194.25,2/28
taxa,GGB9537_SGB14940,Fusobacterium_nucleatum,1.533,432.001,430.468,28083.11,4/28
taxa,Eubacterium_brachy,Fusobacterium_nucleatum,11.343,441.711,430.368,3794.04,2/28
taxa,Sanguibacteroides_justesenii,Fusobacterium_nucleatum,7.742,438.106,430.364,5558.69,2/28
taxa,Alphaproteobacteria_bacterium,Fusobacterium_nucleatum,1.357,431.683,430.326,31707.39,2/28
taxa,Anaerostipes_caccae,Fusobacterium_nucleatum,5.015,435.312,430.297,8580.38,2/28
taxa,Clostridium_celatum,Fusobacterium_nucleatum,3.029,433.305,430.276,14207.27,2/28
taxa,Mediterraneibacter_butyricigenes,Fusobacterium_nucleatum,2.633,432.74,430.107,16337.16,4/28
taxa,Blautia_hansenii,Fusobacterium_nucleatum,4.667,434.734,430.067,9215.57,2/28
taxa,Candidatus_Saccharibacteria_unclassified_SGB19850,Fusobacterium_nucleatum,5.645,435.678,430.033,7618.03,22/28
taxa,GGB9603_SGB15035,Fusobacterium_nucleatum,4.182,434.206,430.023,10281.8,2/28
taxa,Lachnospiraceae_bacterium_OM04_12BH,Fusobacterium_nucleatum,2.138,432.143,430.004,20108.43,2/28
taxa,GGB9597_SGB15022,Fusobacterium_nucleatum,1.984,431.929,429.945,21671.86,2/28
taxa,Clostridia_unclassified_SGB6376,Fusobacterium_nucleatum,2.554,432.468,429.913,16831.63,2/28
taxa,TM7_phylum_sp_oral_taxon_348,Fusobacterium_nucleatum,0.058,429.807,429.749,736506.69,2/28
taxa,Blautia_sp_MSK_21_1,Fusobacterium_nucleatum,0.09,429.837,429.747,477030.35,2/28
taxa,GGB3341_SGB4420,Fusobacterium_nucleatum,2.168,431.8,429.631,19815.0,2/28
taxa,Clostridia_unclassified_SGB71281,Fusobacterium_nucleatum,5.657,435.264,429.607,7593.95,2/28
taxa,Enorma_SGB14753,Fusobacterium_nucleatum,11.734,441.252,429.518,3660.49,2/28
taxa,GGB2982_SGB3964,Fusobacterium_nucleatum,5.292,434.739,429.447,8115.78,2/28
taxa,Campylobacter_gracilis,Fusobacterium_nucleatum,11.872,441.31,429.438,3617.13,2/28
taxa,Lacticaseibacillus_rhamnosus,Fusobacterium_nucleatum,3.33,432.468,429.138,12886.73,2/28
taxa,Abiotrophia_defectiva,Fusobacterium_nucleatum,1.653,430.738,429.085,25960.58,2/28
taxa,Harryflintia_acetispora,Fusobacterium_nucleatum,5.03,433.868,428.838,8526.39,2/28
taxa,Bacteroides_cellulosilyticus,Fusobacterium_nucleatum,1.354,430.172,428.818,31673.22,4/28
taxa,Lentisphaeria_unclassified_SGB9198,Fusobacterium_nucleatum,6.304,435.03,428.726,6800.64,2/28
taxa,Pseudoflavonifractor_sp_Marseille_P3106,Fusobacterium_nucleatum,3.156,431.862,428.706,13585.92,2/28
taxa,Actinomyces_naeslundii,Fusobacterium_nucleatum,3.769,432.337,428.568,11372.21,2/28
taxa,Streptococcus_sp_A12,Fusobacterium_nucleatum,11.014,439.378,428.365,3889.4,24/28
taxa,Neobittarella_massiliensis,Fusobacterium_nucleatum,8.773,437.103,428.331,4882.54,2/28
taxa,Mediterraneibacter_glycyrrhizinilyticus,Fusobacterium_nucleatum,10.393,438.56,428.166,4119.63,2/28
taxa,Limosilactobacillus_reuteri,Fusobacterium_nucleatum,4.001,432.063,428.063,10699.61,2/28
taxa,Leuconostoc_mesenteroides,Fusobacterium_nucleatum,8.219,436.265,428.045,5207.69,2/28
taxa,GGB3510_SGB4687,Fusobacterium_nucleatum,9.018,437.016,427.999,4746.27,2/28
taxa,Eubacterium_sp_AF15_50,Fusobacterium_nucleatum,0.019,427.904,427.885,2232630.57,4/28
taxa,Faecalitalea_cylindroides,Fusobacterium_nucleatum,4.743,432.565,427.822,9019.3,2/28
taxa,Streptococcus_thermophilus,Fusobacterium_nucleatum,9.818,437.481,427.662,4355.74,2/28
taxa,Lacrimispora_celerecrescens,Fusobacterium_nucleatum,0.002,427.601,427.599,21893087.5,2/28
taxa,Escherichia_marmotae,Fusobacterium_nucleatum,10.65,437.911,427.261,4011.88,2/28
taxa,Candidatus_Metaruminococcus_caecorum,Fusobacterium_nucleatum,11.189,438.434,427.245,3818.45,2/28
taxa,Cloacibacillus_porcorum,Fusobacterium_nucleatum,7.783,434.995,427.212,5489.07,2/28
taxa,Actinomyces_sp_S6_Spd3,Fusobacterium_nucleatum,4.04,431.088,427.048,10569.81,22/28
taxa,Candidatus_Avimonas_narfia,Fusobacterium_nucleatum,16.313,443.353,427.04,2617.71,2/28
taxa,GGB9618_SGB15064,Fusobacterium_nucleatum,3.802,430.787,426.985,11230.52,2/28
taxa,Eubacterium_ventriosum,Fusobacterium_nucleatum,1.846,428.823,426.978,23134.62,6/28
taxa,Bifidobacterium_adolescentis,Fusobacterium_nucleatum,6.217,433.183,426.967,6868.22,2/28
taxa,Senegalimassilia_faecalis,Fusobacterium_nucleatum,4.674,431.5,426.826,9132.73,4/28
taxa,Gordonibacter_pamelaeae,Fusobacterium_nucleatum,16.225,443.042,426.816,2630.59,2/28
taxa,Candidatus_Avimicrobium_caecorum,Fusobacterium_nucleatum,4.741,431.551,426.81,9003.06,4/28
taxa,GGB9291_SGB14248,Fusobacterium_nucleatum,5.021,431.74,426.719,8498.28,2/28
taxa,GGB6606_SGB9340,Fusobacterium_nucleatum,7.884,434.586,426.702,5412.23,2/28
taxa,Haemophilus_sputorum,Fusobacterium_nucleatum,1.005,427.636,426.632,42455.85,22/28
taxa,Barnesiella_intestinihominis,Fusobacterium_nucleatum,7.646,434.223,426.577,5579.43,20/28
taxa,Clostridia_unclassified_SGB3983,Fusobacterium_nucleatum,4.783,431.327,426.544,8918.45,2/28
taxa,Clostridiales_bacterium_Choco116,Fusobacterium_nucleatum,8.302,434.823,426.522,5137.73,2/28
taxa,Clostridia_unclassified_SGB6293,Fusobacterium_nucleatum,3.412,429.801,426.389,12497.24,2/28
taxa,Veillonella_dispar,Fusobacterium_nucleatum,2.649,429.023,426.374,16095.57,22/28
taxa,Coprococcus_sp_AF21_14LB,Fusobacterium_nucleatum,5.862,432.187,426.325,7272.92,2/28
taxa,Eubacterium_sp_AF34_35BH,Fusobacterium_nucleatum,2.722,428.951,426.229,15661.23,12/28
taxa,Ruminococcus_sp_NSJ_71,Fusobacterium_nucleatum,1.358,427.365,426.007,31377.9,2/28
taxa,Bilophila_SGB15450,Fusobacterium_nucleatum,1.3,427.019,425.72,32754.65,6/28
taxa,Phocaeicola_coprophilus,Fusobacterium_nucleatum,13.785,439.486,425.701,3088.22,2/28
taxa,Rikenellaceae_unclassified_SGB2230,Fusobacterium_nucleatum,4.792,430.428,425.636,8881.78,2/28
taxa,Clostridium_sp_AM22_11AC,Fusobacterium_nucleatum,1.645,427.236,425.591,25872.77,6/28
taxa,Streptococcus_sanguinis,Fusobacterium_nucleatum,2.05,427.609,425.559,20762.69,20/28
taxa,Streptococcus_parasanguinis,Fusobacterium_nucleatum,1.606,427.012,425.406,26486.32,22/28
taxa,Ruminococcaceae_bacterium,Fusobacterium_nucleatum,2.364,427.624,425.26,17992.46,22/28
taxa,Gardnerella_vaginalis,Fusobacterium_nucleatum,6.576,431.675,425.099,6464.47,2/28
taxa,Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,Fusobacterium_nucleatum,1.0,426.092,425.092,42501.68,22/28
taxa,Clostridia_bacterium,Fusobacterium_nucleatum,2.28,427.364,425.084,18644.53,22/28
taxa,GGB9644_SGB15121,Fusobacterium_nucleatum,2.698,427.777,425.079,15753.92,2/28
taxa,Clostridium_disporicum,Fusobacterium_nucleatum,6.825,431.831,425.006,6227.02,2/28
taxa,Clostridia_unclassified_SGB14196,Fusobacterium_nucleatum,3.25,428.119,424.869,13074.62,8/28
taxa,GGB58485_SGB80143,Fusobacterium_nucleatum,2.573,427.302,424.728,16504.53,6/28
taxa,Mitsuokella_multacida,Fusobacterium_nucleatum,1.009,425.673,424.664,42076.01,4/28
taxa,Clostridium_paraputrificum,Fusobacterium_nucleatum,10.02,434.535,424.515,4236.78,2/28
taxa,GGB29535_SGB42321,Fusobacterium_nucleatum,19.627,444.09,424.462,2162.62,2/28
taxa,GGB3571_SGB4778,Fusobacterium_nucleatum,6.64,430.925,424.285,6389.93,2/28
taxa,GGB9574_SGB14987,Fusobacterium_nucleatum,11.605,435.847,424.242,3655.77,2/28
taxa,GGB4456_SGB6141,Fusobacterium_nucleatum,7.735,431.911,424.176,5483.6,2/28
taxa,Alistipes_finegoldii,Fusobacterium_nucleatum,2.878,427.026,424.148,14739.9,22/28
taxa,Christensenellaceae_bacterium,Fusobacterium_nucleatum,3.675,427.791,424.115,11539.08,22/28
taxa,Anaerofilum_sp_BX8,Fusobacterium_nucleatum,8.467,432.493,424.026,5007.81,2/28
taxa,Alistipes_indistinctus,Fusobacterium_nucleatum,7.024,431.044,424.02,6036.87,22/28
taxa,GGB9237_SGB14179,Fusobacterium_nucleatum,1.444,425.423,423.978,29351.22,6/28
taxa,Alistipes_dispar,Fusobacterium_nucleatum,7.772,431.716,423.943,5454.43,2/28
taxa,Eisenbergiella_massiliensis,Fusobacterium_nucleatum,5.002,428.93,423.927,8474.74,20/28
taxa,Enterobacter_hormaechei,Fusobacterium_nucleatum,0.285,424.15,423.864,148619.72,22/28
taxa,GGB9758_SGB15368,Fusobacterium_nucleatum,3.412,427.238,423.826,12422.13,2/28
taxa,Desulfovibrio_fairfieldensis,Fusobacterium_nucleatum,6.031,429.797,423.766,7026.45,2/28
taxa,Clostridiales_bacterium_1_7_47FAA,Fusobacterium_nucleatum,16.171,439.854,423.682,2619.95,2/28
taxa,GGB3005_SGB3996,Fusobacterium_nucleatum,0.319,423.719,423.401,132923.21,20/28
taxa,GGB9615_SGB15053,Fusobacterium_nucleatum,1.665,425.049,423.384,25424.89,10/28
taxa,Candidatus_Borkfalkia_ceftriaxoniphila,Fusobacterium_nucleatum,24.324,447.604,423.28,1740.16,2/28
taxa,Holdemania_sp_Marseille_P2844,Fusobacterium_nucleatum,18.348,441.47,423.122,2306.14,2/28
taxa,Oscillibacter_sp_ER4,Fusobacterium_nucleatum,4.193,427.263,423.07,10088.95,12/28
taxa,Ruminococcaceae_unclassified_SGB15236,Fusobacterium_nucleatum,0.46,423.45,422.991,91976.23,14/28
taxa,Clostridiaceae_bacterium_NSJ_33,Fusobacterium_nucleatum,43.804,466.781,422.977,965.61,2/28
taxa,GGB9699_SGB15216,Fusobacterium_nucleatum,1.162,424.122,422.96,36384.38,20/28
taxa,Dorea_sp_AF24_7LB,Fusobacterium_nucleatum,4.164,427.122,422.957,10156.73,8/28
taxa,Intestinimonas_massiliensis,Fusobacterium_nucleatum,0.831,423.786,422.955,50881.52,22/28
taxa,Alloscardovia_omnicolens,Fusobacterium_nucleatum,26.356,449.308,422.951,1604.74,2/28
taxa,Clostridiales_bacterium_Marseille_P2846,Fusobacterium_nucleatum,13.815,436.689,422.874,3060.99,2/28
taxa,GGB9621_SGB15073,Fusobacterium_nucleatum,0.729,423.47,422.741,57980.52,14/28
taxa,Prevotella_sp_P4_51,Fusobacterium_nucleatum,4.552,427.256,422.705,9287.13,2/28
taxa,Abiotrophia_sp_HMSC24B09,Fusobacterium_nucleatum,0.361,423.061,422.7,117071.27,22/28
taxa,Bifidobacterium_pseudocatenulatum,Fusobacterium_nucleatum,0.798,423.496,422.698,52976.84,12/28
taxa,Ruthenibacterium_lactatiformans,Fusobacterium_nucleatum,3.384,425.939,422.555,12486.72,22/28
taxa,Erysipelotrichaceae_bacterium,Fusobacterium_nucleatum,15.479,437.954,422.475,2729.25,20/28
taxa,Faecalicoccus_pleomorphus,Fusobacterium_nucleatum,13.373,435.723,422.35,3158.16,2/28
taxa,GGB9631_SGB15087,Fusobacterium_nucleatum,2.685,424.948,422.262,15723.87,8/28
