fold,test_cohort,run,base,contributing,base_IG_1D,contributing_IG_1D,IG_2D_added,total_IG
0,Public_study__FengQ_2015,0,Blautia_faecis,Parvimonas_micra,25.401123046875,348.864501953125,354.6787109375,380.079833984375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Blautia_faecis,348.864501953125,25.401123046875,31.21533203125,380.079833984375
0,Public_study__FengQ_2015,0,Alistipes_senegalensis,Parvimonas_micra,7.101318359375,348.864501953125,353.5244140625,360.625732421875
0,Public_study__FengQ_2015,0,Actinomyces_SGB17168,Parvimonas_micra,0.12548828125,348.864501953125,356.802490234375,356.927978515625
0,Public_study__FengQ_2015,0,GGB9595_SGB15019,Parvimonas_micra,8.182861328125,348.864501953125,350.69970703125,358.882568359375
0,Public_study__FengQ_2015,0,Oribacterium_parvum,Parvimonas_micra,4.03564453125,348.864501953125,350.970458984375,355.006103515625
0,Public_study__FengQ_2015,0,Roseburia_intestinalis,Parvimonas_micra,73.34423828125,348.864501953125,327.490478515625,400.834716796875
0,Public_study__FengQ_2015,0,Parvimonas_micra,Roseburia_intestinalis,348.864501953125,73.34423828125,51.97021484375,400.834716796875
0,Public_study__FengQ_2015,0,Clostridia_unclassified_SGB4367,Parvimonas_micra,30.34130859375,348.864501953125,332.826171875,363.16748046875
0,Public_study__FengQ_2015,0,Butyricimonas_faecalis,Parvimonas_micra,4.947021484375,348.864501953125,350.17919921875,355.126220703125
0,Public_study__FengQ_2015,0,Bifidobacterium_pseudocatenulatum,Parvimonas_micra,0.044677734375,348.864501953125,357.201171875,357.245849609375
0,Public_study__FengQ_2015,0,Ruminococcus_bicirculans,Parvimonas_micra,7.96337890625,348.864501953125,354.348388671875,362.311767578125
0,Public_study__FengQ_2015,0,Anaerostipes_hadrus,Parvimonas_micra,20.140625,348.864501953125,360.6806640625,380.8212890625
0,Public_study__FengQ_2015,0,Parvimonas_micra,Anaerostipes_hadrus,348.864501953125,20.140625,31.956787109375,380.8212890625
0,Public_study__FengQ_2015,0,Clostridia_unclassified_SGB14951,Parvimonas_micra,8.43701171875,348.864501953125,354.057373046875,362.494384765625
0,Public_study__FengQ_2015,0,GGB4603_SGB6367,Parvimonas_micra,11.8515625,348.864501953125,352.4326171875,364.2841796875
0,Public_study__FengQ_2015,0,Lachnospira_eligens,Parvimonas_micra,24.055908203125,348.864501953125,353.771240234375,377.8271484375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Lachnospira_eligens,348.864501953125,24.055908203125,28.962646484375,377.8271484375
0,Public_study__FengQ_2015,0,Clostridium_spiroforme,Parvimonas_micra,2.000732421875,348.864501953125,362.837646484375,364.83837890625
0,Public_study__FengQ_2015,0,Ruminococcaceae_bacterium,Parvimonas_micra,2.468017578125,348.864501953125,370.135009765625,372.60302734375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Ruminococcaceae_bacterium,348.864501953125,2.468017578125,23.738525390625,372.60302734375
0,Public_study__FengQ_2015,0,Lachnospiraceae_bacterium,Parvimonas_micra,31.14013671875,348.864501953125,336.841552734375,367.981689453125
0,Public_study__FengQ_2015,0,Romboutsia_timonensis,Parvimonas_micra,0.61865234375,348.864501953125,354.256591796875,354.875244140625
0,Public_study__FengQ_2015,0,Peptostreptococcus_anaerobius,Parvimonas_micra,93.91357421875,348.864501953125,298.07275390625,391.986328125
0,Public_study__FengQ_2015,0,Parvimonas_micra,Peptostreptococcus_anaerobius,348.864501953125,93.91357421875,43.121826171875,391.986328125
0,Public_study__FengQ_2015,0,GGB4596_SGB6358,Parvimonas_micra,25.638916015625,348.864501953125,348.501953125,374.140869140625
0,Public_study__FengQ_2015,0,Parvimonas_micra,GGB4596_SGB6358,348.864501953125,25.638916015625,25.2763671875,374.140869140625
0,Public_study__FengQ_2015,0,Morganella_morganii,Parvimonas_micra,38.74365234375,348.864501953125,337.319091796875,376.062744140625
0,Public_study__FengQ_2015,0,Parvimonas_micra,Morganella_morganii,348.864501953125,38.74365234375,27.1982421875,376.062744140625
0,Public_study__FengQ_2015,0,Eikenella_corrodens,Parvimonas_micra,87.098876953125,348.864501953125,310.765869140625,397.86474609375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Eikenella_corrodens,348.864501953125,87.098876953125,49.000244140625,397.86474609375
0,Public_study__FengQ_2015,0,GGB9634_SGB15095,Parvimonas_micra,8.537109375,348.864501953125,348.589111328125,357.126220703125
0,Public_study__FengQ_2015,0,GGB9615_SGB15053,Parvimonas_micra,0.666015625,348.864501953125,357.125,357.791015625
0,Public_study__FengQ_2015,0,Phascolarctobacterium_succinatutens,Parvimonas_micra,31.8427734375,348.864501953125,340.019287109375,371.862060546875
0,Public_study__FengQ_2015,0,Parvimonas_micra,Phascolarctobacterium_succinatutens,348.864501953125,31.8427734375,22.99755859375,371.862060546875
0,Public_study__FengQ_2015,0,Veillonella_parvula,Parvimonas_micra,26.623046875,348.864501953125,341.040283203125,367.663330078125
0,Public_study__FengQ_2015,0,Ruminococcaceae_unclassified_SGB4191,Parvimonas_micra,10.70556640625,348.864501953125,351.18115234375,361.88671875
0,Public_study__FengQ_2015,0,Faecalicatena_fissicatena,Parvimonas_micra,1.058837890625,348.864501953125,353.984130859375,355.04296875
0,Public_study__FengQ_2015,0,Streptococcus_oralis,Parvimonas_micra,25.17431640625,348.864501953125,338.333251953125,363.507568359375
0,Public_study__FengQ_2015,0,GGB38171_SGB72433,Parvimonas_micra,41.872802734375,348.864501953125,332.84326171875,374.716064453125
0,Public_study__FengQ_2015,0,Parvimonas_micra,GGB38171_SGB72433,348.864501953125,41.872802734375,25.8515625,374.716064453125
0,Public_study__FengQ_2015,0,Hungatella_hathewayi,Parvimonas_micra,28.57080078125,348.864501953125,330.777099609375,359.347900390625
0,Public_study__FengQ_2015,0,Blautia_wexlerae,Parvimonas_micra,11.339111328125,348.864501953125,357.27978515625,368.618896484375
0,Public_study__FengQ_2015,0,Lachnospira_SGB5077,Parvimonas_micra,5.953125,348.864501953125,350.19384765625,356.14697265625
